Model,Status,Additional_Description
1390-76*5,DS,TBDS
1390-76*7S,DS,TBDS
1390-76B,DS,
1390-8,DS,
1390-9,DS,
1390A,DS,
1390K-1,IN,TBDS
1390K-1CK*,DS,TBDS
1390K-1CK*5,DS,TBDS
1390K-1CK*9,DS,TBDS
1390K-1EK*,IN,TBDS
1390K-1EK*5,DS,TBDS
1390K-1EK*9,DS,TBDS
1390K-2,IN,TBDS
1390K-3CK,DS,
1390K-3EK,IN,TBDS
1390LP-1,DS,
1390LP-1*,DS,TBDS
1390LP-1*5,DS,TBDS
1390LP-2,DS,
1390LP-3,DS,
1390LPK-1,DS,
1390LPK-1CK*,DS,TBDS
1390LPK-1CK*5,DS,TBDS
1390LPK-1EK*,DS,TBDS
1390LPK-1EK*9,DS,TBDS
1390LPK-2,DS,
1390LPK-3CK,IN,TBDS
1390S,DS,
1393BK-24,IN,
1393BK-31,DS,
1393BK-36,IN,
1393BK-36*5,IN,
1393BK-48,IN,
1393BK-48*,IN,
1393BK-48*5,IN,
1393BK-48B,IN,
1393BK-50,IN,
1393BK-78,DS,
1393BK-78*5,DS,
1393BK-78*7,DS,
1393BKS,IN,
1393W-24,DS,
1393W-36,DS,
1393W-36*5,DS,
1393W-48,DS,
1393W-48*,DS,
1393W-48*5,DS,
1393W-48B,DS,
1393W-50,DS,
1393W-78,DS,
1393W-78*5,DS,
1393W-78*7,DS,
1393WS,DS,
1394-04,DS,
1394-05,DS,
1394-1,DS,
1394-1*,DS,TBDS
1394-108,DS,
1394-108*7,DS,TBDS
1394-11,IN,TBDS
1394-14,DS,TBDS
1394-1*4,DS,TBDS
1394-15,DS,
1394-1*5,DS,TBDS
1394-1*9,DS,TBDS
1394-2,IN,TBDS
1394-3,DS,
1394-30,DS,
1394-4,DS,
1394-40,DS,
1394-5,IN,TBDS
1394-50,DS,
1394-50*,DS,TBDS
1394-55,DS,
1394-6,DS,
1394-9,DS,
1394A,DS,
1394K-1CK,IN,TBDS
1394K-1CK*,DS,TBDS
1394K-1CK*4,DS,TBDS
1394K-1CK*5,DS,TBDS
1394K-1CK*9,DS,TBDS
1394K-1EK,DS,
1394K-1EK*,DS,TBDS
1394K-1EK*5,DS,TBDS
1394K-2CK,DS,
1394K-2EK,IN,TBDS
1394K-3CK,IN,TBDS
1394K-3EK,IN,TBDS
1394KN-1CK,IN,TBDS
1394KN-1CK*,IN,TBDS
1394KN-1EK,IN,TBDS
1394KN-1EK*,IN,TBDS
1394KN-2CK,IN,TBDS
1394KN-2EK,IN,TBDS
1394KN-3CK,IN,TBDS
1394KN-3EK,IN,TBDS
1394KWW-1CK,DS,TBDS
1394KWW-1CK*,DS,
1394KWW-1EK,DS,TBDS
1394KWW-1EK*,DS,
1394KWW-2CK,DS,
1394KWW-2EK,DS,
1394KWW-3CK,DS,
1394KWW-3EK,DS,
1394N-1,IN,TBDS
1394N-1*,IN,TBDS
1394N-11,DS,TBDS
1394N-14,DS,
1394N-1*4,DS,TBDS
1394N-15,DS,
1394N-1*5,DS,TBDS
1394N-1*9,DS,TBDS
1394N-2,IN,TBDS
1394N-3,IN,TBDS
1394N-4,DS,
1394N-5,DS,TBDS
1394N-6,DS,TBDS
1394N-9,DS,
1394S,DS,
1394WW-1,DS,
1394WW-1*,DS,
1394WW-11,DS,
1394WW-1*4,DS,
1394WW-1*5,DS,
1394WW-1*9,DS,
1394WW-2,DS,
1394WW-3,DS,
1394WW-4,DS,
1394WW-5,DS,
1394WW-6,DS,
1394WW-9,DS,
1399-24BH,DS,
1399-36,DS,
1399-36*5,DS,
1399-36XL*,DS,
1399-36XL*5,DS,
1399-36XLB,DS,TBDS
1399-83*5,DS,
1399-90*,DS,
1399-90*5,DS,
1399-90*6,DS,
1399-90B,DS,
1399S,DS,
1401-6,DS,
1401K-3CK,DS,
14020-12*,DS,TBDS
14020-12B,DS,
14020-12T,DS,
1402-04,DS,
1402-1,IN,TBDS
1402-1*,DS,TBDS
1402-11,DS,
1402-1*5,DS,TBDS
1402-2,DS,
1402-3,IN,TBDS
1402-30,DS,
1402-4,IN,TBDS
1402-40,DS,
1402-5,IN,TBDS
1402-6RT,IN,TBDS
1402-6SW,IN,TBDS
1402-84,DS,
1402-84*5,DS,TBDS
1402-84*7,DS,TBDS
1402-9,DS,
1402A,DS,
1402K-1CK,IN,TBDS
1402K-1CK*,IN,TBDS
1402K-1CK*4,IN,TBDS
1402K-1CK*5,IN,TBDS
1402K-1CK*9,DS,TBDS
1402K-1EK,IN,TBDS
1402K-1EK*,IN,TBDS
1402K-1EK*4,IN,TBDS
1402K-2CK,IN,TBDS
1402K-2EK,IN,TBDS
1402K-3CK,IN,TBDS
1402K-3EK,IN,TBDS
1402KW-1CK,IN,TBDS
1402KW-1CK*,IN,TBDS
1402KW-1EK,DS,
1402KW-1EK*,DS,TBDS
1402KW-2CK,IN,TBDS
1402KW-2EK,IN,TBDS
1402KW-3CK,IN,TBDS
1402KW-3EK,IN,TBDS
1402LP-1*,DS,TBDS
1402LP-1*4,DS,TBDS
1402LP-1*5,DS,TBDS
1402LP-2,DS,
1402LPK-1CK*,IN,TBDS
1402LPK-1EK*,IN,TBDS
1402LPK-2CK,IN,TBDS
1402LPK-2EK,IN,TBDS
1402S,DS,
1402SL-1,DS,
1402SL-1*,DS,TBDS
1402SL-1*4,DS,TBDS
1402SL-1*5,DS,TBDS
1402SL-1*9,DS,TBDS
1402SL-2,IN,TBDS
1402SL-3,IN,
1402SL-3RL,IN,TBDS
1402SL-DW,IN,TBDS
1402SLK-1CK,IN,TBDS
1402SLK-1CK*,IN,TBDS
1402SLK-1CK*4,IN,TBDS
1402SLK-1CK*9,DS,TBDS
1402SLK-1EK,IN,TBDS
1402SLK-1EK*,IN,TBDS
1402SLK-1EK*4,IN,TBDS
1402SLK-1EK*9,DS,TBDS
1402SLK-2CK,IN,TBDS
1402SLK-2EK,IN,TBDS
1402SLK-3CK,IN,TBDS
1402SLK-3CKRL,IN,TBDS
1402SLK-3EK,IN,TBDS
1402SLK-3EKRL,IN,TBDS
1402W-1,IN,TBDS
1402W-1*,DS,TBDS
1402W-11,DS,TBDS
1402W-3,IN,TBDS
1402W-4,DS,TBDS
1402W-5,DS,TBDS
1402W-6SW,IN,TBDS
1402W-9,DS,
1403-3,DS,
1403-5,DS,
1403-6,DS,
1403-9,DS,
1403K-1,DS,
1403K-3CK,DS,
1404S,DS,
1405-1,DS,
1405-1*,DS,
1405-2,DS,
1405-3,DS,
1405-4,DS,
1405-5,DS,
1405-55,DS,
1405-6,DS,
1405-72,DS,
1405-72B,DS,
1405K-1CK,DS,
1405K-1EK,DS,
1405S,DS,
1410-24S1,DS,
1410-24S2,DS,
1410-36,DS,
1410-36B,DS,
1410-48B,DS,
1410-92B,DS,
1410-94,DS,
1410-S1,DS,
1410-S1BR,DS,
1410-S2,DS,
1412-3,DS,
1412-5,DS,
1412-6,DS,
1412-9,DS,
1412K-3CK,DS,
1412PLK-3CK,DS,
1415-4,DS,
1415-5,DS,
1415-6,DS,
1415-9,DS,
1415K-1CK,DS,
1415K-1EK,DS,
1415K-3EK,DS,
1418K-3CK,DS,
1419-04,DS,
1419-3,DS,
1419-30,DS,
1419-5,DS,
1419RFS,DS,
1419S,DS,
1422-1,DS,
1422-1*,DS,
1422-10,DS,
1422-11,DS,
1422-1*4,DS,
1422-1*5,DS,
1422-2,DS,
1422-3,DS,
1422-4,DS,
1422-5,DS,
1422-6,DS,
1422-9,DS,
1422K-1CK,DS,
1422K-1CK*9,DS,
1422K-1EK,IN,
1422K-1EK*,DS,
1422K-1EK*9,DS,
1422K-2CK,DS,
1422K-2EK,IN,
1422K-3EK,DS,
1425K-3CK,DS,
1427A,DS,
1437-1,DS,
1437-120,DS,
1437-2,DS,
1437-5,DS,
1437-55,DS,
14379-3,DS,
1437A,DS,
1437K-3CK,DS,
1437S,DS,
1440-1,DS,
1440-3,DS,
1440-4,DS,
1440-5,DS,
1440-6,DS,
1440-9,DS,
1440F-1,DS,
1440F-3,DS,
1440K-1CK,DS,
1440K-1EK,DS,
1440K-3CK,DS,
1440K-3EK,DS,
1440PU-1,DS,
1440PUF-1,DS,
1440PUK-1CK,DS,
1440PUK-1EK,DS,
1464C-11,DS,
1464C-1*4,DS,
1464C-1*5,DS,
1464C-1*9,DS,
1464C-6,DS,
1464C-9,DS,
1464KC-1EK*,DS,
1464KC-3CK,DS,
1464KC-3EK,DS,
1465C-1,DS,
1465C-2,DS,
1465C-3,DS,
1465KC-3CK,DS,
1471-4,DS,
1471-5,DS,
1471K-3EK,DS,
1472-1,DS,
1472-2,DS,
1474-11,DS,
1475-1,DS,
1475-6,DS,
1475K-1CK,DS,
1477-4,DS,
1477-5,DS,
1477-6,DS,
1477-9,DS,
1477K-1EK,DS,
1483,DS,
151K-3CK,DS,
152C-7,DS,
156-4,DS,
1589NF-04,DS,
1589NF-05,DS,
1589NF-1,DS,
1589NF-30,DS,
1600-1,IN,
1600-1*,IN,
1600-1*3,IN,
1600-1*4,IN,
1600-1*5,IN,
1600-1*9,IN,
1600-2,IN,
1600-3,IN,
1600-4,IN,
1600-5,IN,
1600-6,IN,
1600-9,IN,
1600K-1CK,IN,
1600K-1CK*,IN,
1600K-1EK,IN,
1600K-1EK*,IN,
1600K-2CK,IN,
1600K-2EK,IN,
1600K-3CK,IN,
1603-1,IN,
1603-1*,IN,
1603-1*3,IN,
1603-1*4,IN,
1603-1*5,IN,
1603-1*9,IN,
1603-2,IN,
1603-4,IN,
1603-5,IN,
1603-6,IN,
1603-9,IN,
1603K-1CK,IN,
1603K-1CK*,IN,
1603K-1EK,IN,
1603K-1EK*,IN,
1603K-2CK,IN,
1603K-2EK,IN,
1603-P,IN,
1604-1,IN,
1604-1*,IN,
1604-1*3,IN,
1604-1*4,IN,
1604-1*5,IN,
1604-1*9,IN,
1604-2,IN,
1604-3,IN,
1604-4,IN,
1604-5,IN,
1604-6,IN,
1604-9,IN,
1604F-1,IN,
1604F-1*,IN,
1604F-1*4,IN,
1604F-1*9,IN,
1604F-2,IN,
1604F-3,IN,
1604K-1,IN,
1604K-1CK*,IN,
1604K-1CK*4,IN,
1604K-1CK*9,IN,
1604K-1EK*,IN,
1604K-1EK*4,IN,
1604K-1EK*9,IN,
1604K-2,IN,
1604K-3CK,IN,
1605-1,IN,
1605-1*,IN,
1605-1*3,IN,
1605-1*4,IN,
1605-1*5,IN,
1605-1*9,IN,
1605-2,IN,
1605-3,IN,
1605-4,IN,
1605-5,IN,
1605-6,IN,
1605-9,IN,
1605K-1,IN,
1605K-1CK*,IN,
1605K-1EK*,IN,
1605K-2,IN,
1605K-3CK,IN,
1606-1,IN,
1606-1*,IN,
1606-1*3,IN,
1606-1*4,IN,
1606-1*5,IN,
1606-1*9,IN,
1606-2,IN,
1606-3,IN,
1606-4,IN,
1606-5,IN,
1606-6,IN,
1606-9,IN,
1606K-1,IN,
1606K-1CK*,IN,
1606K-1EK*,IN,
1606K-2,IN,
1606K-3CK,IN,
1609-1,IN,
1609-1*,IN,
1609-1*3,IN,
1609-1*4,IN,
1609-1*5,IN,
1609-1*9,IN,
1609-3,IN,
1609-4,IN,
1609-5,IN,
1609-6,IN,
1609-9,IN,
1609F-1,IN,
1609F-1*,IN,
1609K-1,IN,
1609K-1CK*,IN,
