name,number,description,category
Flett Collection,1225-1,"The low seat back and tailored profile of the Flett Collection creates modern traditional accent chair that is perfect for your home’s décor. The platinum hued fabric, rolled back and distinct welting define the chairs angles while the swivel base provides functionality.",seating
Dulce Collection,1233GY,"",seating
Dulce Collection,1233MD,"",seating
Dulce Collection,1233RN,"",seating
Dulce Collection,1233TL,"In a nod to retro styling, the Dulce Collection utilizes a thoroughlymodern color pallet to achieve the ultimate look for your modern home.The collection is offered in gray, mustard, teal, and orange. Espressofinished wood legs support the tufted back chair.",seating
Parlier Collection,1234,Feather down seats,seating
Ceylon Collection,1242-1,"Graceful curves paired with natural tones create the elegant design of the Ceylon Collection. The solid wood framing of the collection features wire brush texturing and a gray finish, both contributing a subtly weathered look that plays effortlessly against the contrasting beige fabric seat cushions. The profile of the chair's sides frame a geometric floral-inspired pattern that lends an air of whimsy to the design.",seating
Adelaide Collection,1245F2S,The traditional wing back styling of the Adelaide Collection is given a modern touch with the addition of high polish nail head accenting. A light neutral fabric covering with matching kidney pillow allows for placement in a multitude of settings.,seating
Alta Collection,1249F1S,Providing versatile seating options for your home are theJacinta (1255F1S) and Alta (1249F1S) Collections. Themodern design of each chair allows for use as eitheralternative dining seating or as an accent piece for yourcontemporary home. The gray tone fabrics of the Jacinta(1255F1S) accent chair features espresso finish legs andback support. Beige fabric covers the seat and back ofthe unique Alta (1249F1S) accent chair.,seating
Jacinta Collection,1255F1S,Providing versatile seating options for your home are theJacinta (1255F1S) and Alta (1249F1S) Collections. Themodern design of each chair allows for use as eitheralternative dining seating or as an accent piece for yourcontemporary home. The gray tone fabrics of the Jacinta(1255F1S) accent chair features espresso finish legs andback support. Beige fabric covers the seat and back ofthe unique Alta (1249F1S) accent chair.,seating
Gergia Collection,1257F1S,"The elegant fan-like profile of the Georgia Collection is enhanced by traditional accents, that make this two-toned accent chair a beautiful addition to your home. The neutral toned seating features a decorative toss pillow with scroll embroidered design. Dark nail head accent trims the wing back frame and serves as a compliment to the dark brown herringbone style fabric of the back side of chair.",seating
Essex Collection,1260F1S,"With a classic profile that is covered in a dark gray or blue fabric, the Essex Collection utilizes high polish nail head accenting to provide a modern twist to the design of this elegant accent chair. Rolled tufting furthers the traditional look as do the cherry finished support legs.",seating
Essex Collection,1260F2S,"With a classic profile that is covered in a dark gray or blue fabric, the Essex Collection utilizes high polish nail head accenting to provide a modern twist to the design of this elegant accent chair. Rolled tufting furthers the traditional look as do the cherry finished support legs.",seating
Rheit Collection,1266F1S,"Traditionally framed with a slightly flared arm, the wing back Rhett Collection is a welcome addition to your home d閏or. Contrasting dark nail head accent, and button tufting further the classic look of the collection.",seating
Thrive Collection,1267GY,Mid-century styling and ultra-modern design collide in the creation of the Thrive Collection. The curvaceous profile of the gray fabric covered chair and accompanying ottoman provide a unique look for your contemporary home. A swivel base provides movement for flow of conversation while the ottoman allows you to kick up your feet and relax in style.,seating
Arles Collection,1270F1S,"The slender-back profile of the Arles Collection gracefully gives way tothe ample seat of this modern-traditional accent chair. High polish nailhead accenting provides perfect contrast to the bold-hued coveringsthat are offered – blue, orange, and gray.",seating
Arles Collection,1270F2S,"",seating
Arles Collection,1270F3S,"",seating
Adlai Collection,1277F1S,"Complementing your home’s décor is the Adlai Collection. The modern wingback accent chair is offered in a blue or gray quatrefoil pattern, adding distinct flair to any room in your home. Wood legs support, lending further accent to the modern traditional profile of the chair.",seating
Adlai Collection,1277F2S,"",seating
Semplice Collection,1279F2S,"Designed for placement in a multitude of settings, the classically understated lines of Semplice Collection will complement your homes d閏or. Offered in either dark gray or beige fabric covering, the welt accented chair will provide a comfortable platform for any room in your home.",seating
Semplice Collection,1279F3S,"",seating
Cotswold Collection,1280BE,"Classic accenting provides an elegant touch to the door of your home in the Cotswold Collection. With a profile that features soft, curvaceous lines that are supported by turned legs and accented with button tufting, this traditional chair will provide a stylish seating platform for any room in your home. The collection is offered in Beige, Blue and Gray coverings.",seating
Cotswold Collection,1280BL,"",seating
Cotswold Collection,1280GY,"",seating
Orbit Collection,1282GY-1,"The Orbit Collection envisions the future through a retro lens creating a style that is a perfect fit for your ultra-modern home. Offered in a dark gray bi-cast vinyl cover, this accent chair features metal legs and a horizontal oval headrest that enhance the futuristic design.",seating
Prado Collection,1292-1,"Dramatically styled, the Prado Collection not only serves to support you while you have your conversations, it becomes an artful conversation piece itself. This flared wood seat’s unique styling is supported by tri-pod inspired legs and padded seat and back covered with dark brown AireHyde.",seating
Basseri Collection,1294GY-1,"Created for the ultra-modern home, the Basseri Collection is a sleek accent to your contemporary lifestyle. Chrome legs support the chair with optional brown or dark gray bi-cast vinyl lending to the sleek look.",seating
Avina Collection,1296F1S,"Updating the profile of a traditionally styled wingback chair is the Avina Collection. Available in two colors, the more traditional gray covering provides classic neutral accent while the teal covering adds a pop of dramatic color to your living space. High polish nailhead accent further lends to the updated take on this classic frame.",seating
Avina Collection,1296F2S,"Updating the profile of a traditionally styled wingback chair is the Avina Collection. Available in two colors, the more traditional gray covering provides classic neutral accent while the teal covering adds a pop of dramatic color to your living space. High polish nailhead accent further lends to the updated take on this classic frame.",seating
Grazioso Collection,1297BU-1,Accenting your sophisticated décor is the Grazioso Collection. The gray and blue velvet covers that are offered feature high polish nailhead accent that defines the chair’s profile. The straight back and boldly sloped arms further the elegant profile of the collection.,seating
Moorewood Park Collection,17049,Classic elements combine to create the refined styling of the Moorewood Park Collection. The casual pecan finish over pecan veneers of the show wood frame belies the expected vision of stuffy traditional design with the light finish creating a unique statement to the medallion and gracefully scrolled motifs that lend accent to the profile of the collection. The natural tone fabric body of the seating collection is accented beautifully with contrast toss pillows highlighted with subtle shades of cream and teal. The collection also features reversible seat cushions. Button tufting and gracefully scrolled arms lend to the elegant traditional styling.,seating
Bonaventure Park Collection,19359,"With styling that exemplifies traditional design, the Bonaventure Park Collection exudes sophistication and refined elegance. Cabriole legs support the rolled arm show wood frame, while egg and dart molding, along with acanthus leaf motif lend to the base and top rail of each piece in the collection. Providing contrast to the gold-highlighted cherry finish of the frame is the brown tone chenille fabric. Complimenting contrast pillows feature three traditional patterns with each featuring accenting appropriate to their style such as faux leather piping or looped fringe. Pleated tufting is anchored by button accent providing classic prominent detail to this elegant seating collection.",seating
Lifestyle Collection,468F25S,When designing your living space the accent pieces you choose notonly to fill the room but allow for the expression of your individualstyle to come shining through. Our accent collection will complimentyour unique style.,seating
Fruitvale Collection,4791PU,"The Fruitvale Collection, offered in a black bi-cast vinyl cover with contrasting baseball stitching converts with little effort into a lounging bed.",seating
Piper Collection,4802MFR,"Whether being utilized as a sofa or bed, the cloud-likecomfort of the Piper Collection envelops you, sendingyou into a state of deep relaxation. With a quickadjustment to the click mechanism, this microfiber withbi-cast vinyl sofa lounger transforms between uprightand reclining within seconds. A perfect fit in yourcontemporary or transitionally styled home.",seating
Novak Collection,4803BLK,"Between style and functionality, the Novak Collection effortlessly enables you to embrace both. The baseball-stitched lining flawlessly lands on the black bi-cast vinyl surface while the back can be flattened and a pop-up trundle can be pulled out for a great sleep-over party. Further compliments this piece is the perfectly curved arms with cup holders and magazine pocket on the side",seating
Jazz Collection,4809CH,"It is hard to believe that a seating offering that is socomfortable and soft can be functional as well. Theclick mechanism Jazz Collection features square tuftingand ultra plush microfiber. The sofa, with a series ofclick motions reclines to provide an extra sleep spaceto your home. The ultimate addition to a recreation,dorm, apartment or bedroom, this seating group willprovide you, your family, and friends comfort whenyou need it most",seating
Callie Collection,4823BR,"Supported by column legs and featuring a streamlineddesign, the Callie Collection adjusts with an easy motion ofclick mechanism. Offered in Brown or Gray microfiber",seating
Callie Collection,4823GP,"Supported by column legs and featuring a streamlineddesign, the Callie Collection adjusts with an easy motion ofclick mechanism. Offered in Brown or Gray microfiber",seating
Caffery Collection,4829DB,"In creating the perfect recreational room, you need functional pieces that provide comfort to your friends and family. The Caffery Collection, with a quick adjustment to the click mechanism, turns from a casual sofa into a flat platform perfect for sleeping or just hanging out. Offered in a dark brown bi-cast vinyl with white contrast stitching or dark gray fabric, the collection also features cup holders at arms for added convenience.",seating
Caffery Collection,4829LN,"In creating the perfect recreational room, you need functional pieces that provide comfort to your friends and family. The Caffery Collection, with a quick adjustment to the click mechanism, turns from a casual sofa into a flat platform perfect for sleeping or just hanging out. Offered in a dark brown bi-cast vinyl with white contrast stitching or dark gray fabric, the collection also features cup holders at arms for added convenience.",seating
Marcelo Collection,4838,"The multi-functional Marcelo Collection will provide your home with the seating and sleep space you require. When the click mechanism sofa is adjusted to a fully reclined position, it is met with the pull-out trundle that extends this multi-functional sofa into a bed. Other features include cup holders and the black bi-cast vinyl with white contrast stitching cover.",seating
Mahala Collection,8200BRW,Plush seating is paired with a brown top grain leather and bi-cast vinyl match in the Mahala Collection to create the ultimate platform for relaxation. Offered with two reclining options – a manual or power engaged -the motion mechanisms allow for quick transition from seated to prone with either the quick pull of the manual tab or the push of the power button.,seating
Jude Collection,8201BLK,"Plush seating with well-appointed features makes the Jude Collection a comfortable and functional addition to your living room. The seating group is offered in either brown or black leather gel match coverings for a bold, yet, neutral statement. Manual motion mechanisms operate with the pull of a side-mounted tab, that once engaged, take you from seated to reclined in an easy motion. Each piece in the collection has an individual function allowing for convenience and comfort. The sofa features dual reclining ends and a drop down center seat back with cup-holders and tabletop space, the dual glider reclining ends of the love seat flank a center mounted console with storage and cup-holders, and the chair features a glider mechanism that allows for easy back and forth motion.",seating
Jude Collection,8201BRW,"Plush seating with well-appointed features makes the Jude Collection a comfortable and functional addition to your living room. The seating group is offered in either brown or black leather gel match coverings for a bold, yet, neutral statement. Manual motion mechanisms operate with the pull of a side-mounted tab, that once engaged, take you from seated to reclined in an easy motion. Each piece in the collection has an individual function allowing for convenience and comfort. The sofa features dual reclining ends and a drop down center seat back with cup-holders and tabletop space, the dual glider reclining ends of the love seat flank a center mounted console with storage and cup-holders, and the chair features a glider mechanism that allows for easy back and forth motion.",seating
Sinclair Collection,8202CH,"A hint of retro styling provides a clean and classic look for your contemporary home in the Sinclair Collection. Offered in a traditional seating or sectional configuration, the options allow for the perfect placement within your living room. The collection is available in either chocolate or gray fabric with contrast pillows that furthers the look and versatility for placement within a number of home decors.",seating
Sinclair Collection,8202CH-SC,"A hint of retro styling provides a clean and classic look for your contemporary home in the Sinclair Collection. Offered in a traditional seating or sectional configuration, the options allow for the perfect placement within your living room. The collection is available in either chocolate or gray fabric with contrast pillows that furthers the look and versatility for placement within a number of home decors.",seating
Sinclair Collection,8202GRY,"A hint of retro styling provides a clean and classic look for your contemporary home in the Sinclair Collection. Offered in a traditional seating or sectional configuration, the options allow for the perfect placement within your living room. The collection is available in either chocolate or gray fabric with contrast pillows that furthers the look and versatility for placement within a number of home decors.",seating
Sinclair Collection,8202GRY-SC,"A hint of retro styling provides a clean and classic look for your contemporary home in the Sinclair Collection. Offered in a traditional seating or sectional configuration, the options allow for the perfect placement within your living room. The collection is available in either chocolate or gray fabric with contrast pillows that furthers the look and versatility for placement within a number of home decors.",seating
Iniko Collection,8203GY,"Contemporary styling is exemplified in the design of the Iniko Collection. Offered in gray or red leather gel match coverings, the cleanly designed seating group will fit perfectly in your modern home. Chrome legs support and provide decorative accent that is in line with the sleek look of the collection.",seating
Iniko Collection,8203RD,"Contemporary styling is exemplified in the design of the Iniko Collection. Offered in gray or red leather gel match coverings, the cleanly designed seating group will fit perfectly in your modern home. Chrome legs support and provide decorative accent that is in line with the sleek look of the collection.",seating
Bechette Collection,8204,Modern traditional styling is exemplified in the design of the Bechette Collection. Recessed rolled arms feature nailhead accent for profile definition and decorative touch while contrast toss pillows lend a soft modern look to the traditional frame.,seating
Earl Collection,8205BR-1,Plush seating morphs into an enveloping relaxation platform with the pull of the manual recline mechanism in the Earl Collection. The collection is offered with either a brown or chocolate covering that lends to the d閏or of your transitionally styled home.,seating
Earl Collection,8205CH-1,Plush seating morphs into an enveloping relaxation platform with the pull of the manual recline mechanism in the Earl Collection. The collection is offered with either a brown or chocolate covering that lends to the d閏or of your transitionally styled home.,seating
Aram Collection,8206BRW,"With amply appointed offerings that create not only a comfortable seating experience but a functional one as well, the Aram Collection will be a welcome addition to your home. The seating group is offered in a brown fabric or dark brown AireHyde for comfort and style that will blend effortlessly with your transitional decorative preference. Manual motion mechanisms operate with the pull of a side-mounted tab, that once engaged, take you from seated to reclined in an easy motion. Each piece in the collection has an individual function allowing for convenience and comfort. The sofa features dual reclining ends and a drop down center seat back with cup-holders, electric receptacles, USB port and tabletop space, the dual glider reclining ends of the love seat flank a center mounted console with storage, electric receptacles and cup-holders, and the reclining chair features a glider mechanism that allows for easy back and forth motion.",seating
Aram Collection,8206NF,"With amply appointed offerings that create not only a comfortable seating experience but a functional one as well, the Aram Collection will be a welcome addition to your home. The seating group is offered in a brown fabric or dark brown AireHyde for comfort and style that will blend effortlessly with your transitional decorative preference. Manual motion mechanisms operate with the pull of a side-mounted tab, that once engaged, take you from seated to reclined in an easy motion. Each piece in the collection has an individual function allowing for convenience and comfort. The sofa features dual reclining ends and a drop down center seat back with cup-holders, electric receptacles, USB port and tabletop space, the dual glider reclining ends of the love seat flank a center mounted console with storage, electric receptacles and cup-holders, and the reclining chair features a glider mechanism that allows for easy back and forth motion.",seating
Lotte Collection,8207,"At home in a soft contemporary or modern traditional home, the Lotte Collection will be a stylish addition to your living space. Wood legs rise to support the frame of this seating group, lending a clean and airy feel to the look of the collection. Contoured track arms and contrast toss pillows further the sophisticated, stylish profile.",seating
Sprague Collection,8208-3SC,"With a configuration that allows for the perfect fit with your living room, the transitionally styled Sprauge Collection will be a welcome addition to your home. The three seat sofa features an ottoman that is paired with the reversible chaise cushion to create a right or left configured sectional. The fossil fabric that covers is an earthy neutral tone that furthers the versatile placement within your living room.",seating
Synnove Collection,8209BR-3SC,"Casual contemporary styling creates a relaxed look for your living room in the Synnove Collection. Light brown fabric covers the reversible configuration of the three-seat sofa-sectional. An ottoman is utilized as the base for the reversible end chaise cushion, creating the option of a left or right extension of the sofa seating. Slightly flared arms lend to the modern profile of the collection.",seating
Taye Collection,8210GRY,"With styling that lends to either transitional or contemporary living spaces, the Taye Collection will provide a comfortable platform for your much deserved downtime. Gray leather gel match covers this plush seating group. Manually engaged motion mechanisms allow for quick transition from seated to prone with the quick pull of a tab. Each piece in the collection has an individual function allowing for convenience and comfort. The sofa features dual reclining ends, the dual glider reclining ends of the love seat flank a center mounted console with storage and cup-holders, and the chair features a glider mechanism that allows for easy back and forth motion.",seating
Welty Collection,8211,"Functionality plays a role in the homes of many, whether entertaining overnight guests or seeking the ultimate in lounging as you unwind from a busy day. The Welty collection will provide not only a comfortable spot for your entertaining and relaxation needs, but a functional addition to your casual living space. With a pull of the under storage pop-up ottoman, the seating group becomes a platform that can serve as a lounger or bed. The chaise seat lifts to reveal under storage that is perfect for blankets or extra pillows for your overnight guest. The fabric covering is offered in Fossil, an earthy tone for a neutral addition that is perfect for your home’s décor.",seating
Ynez Collection,8212 Sectional,"Sectional seating allows for the intersection of ample seating space and comfort in the Ynez Collection. Chocolate fabric covers the seats and backrest of this casual offering with the contrasting texture of brown leather gel providing a visual and functional touch to the arms, back and base rail. Dual recliners bookend the armless chair, armless rclining chair, console and center unit creating a comfortable spot for your friends and family to gather.",seating
Warrick Collection,8213-1,The classic rolled arm chair is updated in the Warrick Collection with a stylish gray fabric cover that allows for versatile placement in your traditional home. The push back recliner eases into the prone position with motion that is initiated by your push.,seating
Waneta Collection,8214BRW,"Styled for the transitional home, the Waneta Collection will provide the platform you seek for rest and relaxation. The push back recliner eases into the prone position with motion that is initiated by your push. Offered in a brown leather gel match cover, this stylish push-back chair will serve you well in your downtime.",seating
Walden Collection,8215BJ-1,"Created for comfort and designed with versatile placement in mind, the Walden Collection will be a welcome addition to your traditional casual living space. The push back recliner eases into the prone position with motion that is initiated by your push. The collection is offered in brown or gray fabric covering, both featuring nailhead accent for a decorative touch.",seating
Walden Collection,8215GY-1,"Created for comfort and designed with versatile placement in mind, the Walden Collection will be a welcome addition to your traditional casual living space. The push back recliner eases into the prone position with motion that is initiated by your push. The collection is offered in brown or gray fabric covering, both featuring nailhead accent for a decorative touch.",seating
Cornelia Collection,8216DG,Casual traditional styling creates the look of the Cornelia Collection. The seating group is offered in two coverings – sand or dark gray fabric – for neutral complement to your home’s décor. Nail head trim along with rolled arms lend to the soft traditional style.,seating
Cornelia Collection,8216DG Sectional,"Casual traditional styling creates the look of the Cornelia Collection. Chair, love seat and sofa are offered in two coverings, sand or dark gray fabric to easily blend and complement to your home's d閏or. Nail head trim along with rolled arms lend to the soft traditional style. Sectional in dark gray fabric is newly added to the collection.",seating
Cornelia Collection,8216SD,Casual traditional styling creates the look of the Cornelia Collection. The seating group is offered in two coverings – sand or dark gray fabric – for neutral complement to your home’s décor. Nail head trim along with rolled arms lend to the soft traditional style.,seating
Veloce Collection,8219,"Bringing to mind the sleek styling of an Italian race car, bold contemporary styling creates eye-catching drama for your living room with the Veloce Collection. Color blocked black and ivory bi-cast vinyl covers the ultra-low profile seating and accompanying glass-topped cocktail table, while chrome legs provide support.",seating
Alta Collection,8222-1LT,"Blending the comfort of a lounge chair with the functionality of the internal lift mechanism, the Alta Collection will be a welcome addition to your home. With an electric mechanism that, with a push of a button, takes you from fully reclined to standing, this chair aids in your mobility. The lift chair is offered in dark brown bi-cast vinyl, with contrast stitching, for versatile placement in your transitional to contemporary home.",seating
Nicasio Collection,8223BK,"Designed for comfort, the Nicasio Collection will provide a restful place in which to unwind. Low profile arms feature subtle stitch tufting that complements the transitional styling of the seating group. The all leather covering is available in dark brown or black providing a neutral palate from which to extend your personal decorative style. Power reclining mechanisms allow for the smooth transition from seated to prone, with the press of a button.",seating
Nicasio Collection,8223DB,"Designed for comfort, the Nicasio Collection will provide a restful place in which to unwind. Low profile arms feature subtle stitch tufting that complements the transitional styling of the seating group. The all leather covering is available in dark brown or black providing a neutral palate from which to extend your personal decorative style. Power reclining mechanisms allow for the smooth transition from seated to prone, with the press of a button.",seating
Marceau Collection,8224DG,Modern traditional styling makes for a lovely addition to your living room in the Marceau Collection. Flared arms meet the straight back to create a clean profile that is accented with high polish double nailhead. The front base rail features a single accent line of nailhead for an additional decorative touch. Button tufting lends to the tailored look of the collection.,seating
Marceau Collection,8224TN,Modern traditional styling makes for a lovely addition to your living room in the Marceau Collection. Flared arms meet the straight back to create a clean profile that is accented with high polish double nailhead. The front base rail features a single accent line of nailhead for an additional decorative touch. Button tufting lends to the tailored look of the collection.,seating
Alain Collection,8225,"The perfect addition to your casual transitional living room is the Alain Collection. Amply appointed back and seat cushions provide the ultimate in comfort, while matching toss pillows lend a decorative touch. Lightly textured Gray fabric provides visual and tactile interest.",seating
Alain Collection,8225NGY,"The perfect addition to your casual transitional living room is the Alain Collection. Amply appointed back and seat cushions provide the ultimate in comfort, while matching toss pillows lend a decorative touch. Lightly textured gray or brownish gray fabric provides visual and tactile interest.",seating
Savarin Collection,8226DB,One need not feel constricted by the spatial limitations of their home’s layout with the Savarin Collection. The modular sectional allows for the extension of either the left or right side with the swap of the individual chair and ottoman components. Decorative versatility comes in the form of the two fabric options – dark brown or light gray – with stitch tufting that furthers the transitional styling to complete the look.,seating
