number,description,dimensions,product_number
5613,Dining Table,35.5 X 63 X 30H,5613*
5613S,Side Chair,18.75 X 20.5 X 33H,5613*
5614-72,Dining Table,42 X 54-72 X 30H,5614-72*
5614S,Side Chair,19 X 21 X 38.5H,5614-72*
5614-13,Bench,47 X 16.5 X 19H,5614-72*
5626-70,Dining Table,40 X 70 X 30H,5626-70*
5626S,Side Chair,19.25 X 22.5 X 35H,5626-70*
5627W-36,Counter Height Table,39.75 X 60 X 36H,5627W-36*
5627W-24,Counter Height Chair,19 X 23.5 X 42.25H,5627W-36*
5627W-40,Server,57.75 X 18 X 36H,5627W-36*
5627W-72,Dining Table,40 X 72 X 30.75H,5627W-72*
5627WS,Side Chair,19 X 24 X 40H,5627W-72*
5627W-13,Bench,48 X 16 X 18.5H,5627W-72*
5627W-40,Server,57.75 X 18 X 36H,5627W-72*
5673GY-84,Dining Table,42 X 66-84 X 30H,5673GY-84*
5673GYA,Arm Chair,24.75 X 26 X 40H,5673GY-84*
5673GYS,Side Chair,19.75 X 26 X 40H,5673GY-84*
5673GY-40,Server,58 X 18 X 35.5H,5673GY-84*
586,Dining Table,42 x 66 x 30H,586
586S,Side Chair,20 x 23 x 40H,586
586-13,48” Bench,48 x 16 x 20H,586
586-40,Server,52 x 18 x 33H,586
586-36,Counter Height Table,54 x 36 - 54 x 36H,586-36
586-24,Counter Height Chair,20 x 22 x 41H,586-36
586-40,Server,52 x 18 x 33H,586-36
586-60,Round Dining Table,"60 Dia x 30H
Drop Leaf: 9”",586-60
586S,Side Chair,20 x 23 x 40H,586-60
586-40,Server,52 x 18 x 33H,586-60
586-76,Oval Dining Table,40 x 58 - 76 x 30H,586-76
586S,Side Chair,20 x 23 x 40H,586-76
586-13,48” Bench,48 x 16 x 20H,586-76
586-14,60” Bench,60 x 16 x 20H,586-76
586-40,Server,52 x 18 x 33H,586-76
586-82,Dining Table,42 x 64 - 82 x 30H,586-82
586S,Side Chair,20 x 23 x 40H,586-82
586-14,60” Bench,60 x 16 x 20H,586-82
586-40,Server,52 x 18 x 33H,586-82
586GY-82,Dining Table,42 x 64 - 82 x 30H,586GY-82
586GYS,Side Chair,20 x 23 x 40H,586GY-82
586GY-14,60” Bench,60 x 16 x 20H,586GY-82
586GY-40,Server,52 x 18 x 33H,586GY-82
626-36*,Counter Height Table with Storage Base,48 x 56 - 72 x 36H,626-36*
626-24,Counter Height Chair,21 x 24 x 42H,626-36*
626-40,Server,53 x 18 x 36H,626-36*
626-24SW,Swivel Counter Height Chair,19 x 24.75 x 43H,626-36*
6414*,Iron Lift-Top Table,34 Dia x 32 - 43H,6414*
5034RUTS,"Metal Chair, Rustic",15.75 x 19.75 x 37.25H,6414*
6412,Iron barstool,17 x 15 x 30 - 35H,6414*
6403,6-Drawer Chest with Casters,27 x 19 x 40H,6414*
710-36,"","",710-36
710-24W,"Counter Height Chair, White Bi-Cast Vinyl",20.5 x 24.5 x 40H,710-36
710-24,"Counter Height Chair, Dark Brown Bi-Cast Vinyl",20.5 x 24.5 x 40H,710-36
710-40,Server,52 x 18 x 36H,710-36
710-36RD*,"Round Counter Height Table, Glass Top",54 Dia x 36H,710-36RD*
710-24W,"Counter Height Chair, White Bi-Cast Vinyl",20.5 x 24.5 x 40H,710-36RD*
710-24,"Counter Height Chair, Dark Brown Bi-Cast Vinyl",20.5 x 24.5 x 40H,710-36RD*
710-40,Server,52 x 18 x 36H,710-36RD*
710-54*,"Round Dining Table, Glass Top",54 Dia x 30H,710-54*
710WS,"Side Chair, White Bi-Cast Vinyl",20.5 x 24.5 x 40H,710-54*
710S,"Side Chair, Dark Brown",20.5 x 24.5 x 40H,710-54*
710-40,Server,52 x 18 x 36H,710-54*
710-72*,"Dining Table, Glass Top",42 x 72 x 30H,710-72*
710WS,"Side Chair, White Bi-Cast Vinyl",20.5 x 24.5 x 40H,710-72*
710S,"Side Chair, Dark Brown",20.5 x 24.5 x 40H,710-72*
710-40,Server,52 x 18 x 36H,710-72*
710-72TR*,"Dining Table, Glass Insert",41.75 x 71.75 x 30H,710-72TR*
710S,"Side Chair, Dark Brown",20.5 x 24.5 x 40H,710-72TR*
710WS,"Side Chair, White Bi-Cast Vinyl",20.5 x 24.5 x 40H,710-72TR*
710-40,Server,52 x 18 x 36H,710-72TR*
727-36,Counter Height Table,54 x 40 - 54 x 36H,727-36
727-24,Counter Height Chair,19 x 22.5 x 42.5H,727-36
727-40,Server,52 x 18 x 34H,727-36
727-72,Dining Table,42 x 54 - 72 x 30H,727-72
727S,Side Chair,19 x 23 x 38H,727-72
727-40,Server,52 x 18 x 34H,727-72
