number,description,dimensions,product_number
1394K-1EK*,Eastern King Sleigh Bed,HB: 71H FB: 34H,1394-1*
1394-1*,Queen Sleigh Bed,HB: 71H FB: 34H,1394-1*
1394-4,"Night Stand, Marble Top",34 x 21 x 32H,1394-1*
1394-5,"Dresser, Marble Inset",70 x 23 x 41H,1394-1*
1394-6,Mirror,45.25 x 3.75 x 45.25H,1394-1*
1394-9,"Chest, Marble Inset",44 x 21 x 58H,1394-1*
1394-11,"TV Chest, Marble Top",48 x 20 x 43.75H,1394-1*
1394KN-1CK*,California King Sleigh Bed,HB: 71H FB: 34H,1394N-1*
1394KN-1EK*,Eastern King Sleigh Bed,HB: 71H FB: 34H,1394N-1*
1394N-1*,Queen Sleigh Bed,HB: 71H FB: 34H,1394N-1*
1394N-4,"Night Stand, Marble Top",34 x 21 x 32H,1394N-1*
1394N-5,"Dresser, Marble Inset",70 x 23 x 41H,1394N-1*
1394N-6,Mirror,45.25 x 3.75 x 45.25H,1394N-1*
1394N-9,"Chest, Marble Inset",44 x 21 x 58H,1394N-1*
1394N-11,"TV Chest, Marble Top",48 x 20 x 43.75H,1394N-1*
1402K-1CK*,California King,HB: 65.25H FB: 36H,1402-1*
1402K-1EK*,Eastern King,HB: 65.25H FB: 36H,1402-1*
1402-1*,Queen Bed,HB: 65.25H FB: 36H,1402-1*
1402-4,Night Stand,27 x 18 x 30H,1402-1*
1402-5,Dresser,64 x 20 x 40H,1402-1*
1402-6SW,Swivel Mirror,46 x 3.5 x 39.5H,1402-1*
1402-9,Chest,43 x 20 x 49.5H,1402-1*
1402-11,TV Chest,42 x 20 x 43H,1402-1*
1402LPK-1CK*,California King Low Profile Sleigh Bed,HB: 55H FB: 18H,1402LP-1*
1402LPK-1EK*,Eastern King Low Profile Sleigh Bed,HB: 55H FB: 18H,1402LP-1*
1402LP-1*,Queen Low Profile Sleigh Bed,HB: 55H FB: 18H,1402LP-1*
1402-4,Night Stand,27 x 18 x 30H,1402LP-1*
1402-5,Dresser,64 x 20 x 40H,1402LP-1*
1402-6RT,Mirror,41 x 2 x 46H,1402LP-1*
1402-9,Chest,43 x 20 x 49.5H,1402LP-1*
1402-11,TV Chest,42 x 20 x 43H,1402LP-1*
1402SLK-1CK*,Eastern King Sleigh Bed with Rail Storage,HB: 55H FB: 39H,1402SL-1*
1402SL-1*,Queen Sleigh Platform Bed with Rail Storage,HB: 55H FB: 39H,1402SL-1*
1402-4,Night Stand,27 x 18 x 30H,1402SL-1*
1402-5,Dresser,64 x 20 x 40H,1402SL-1*
1402-6RT,Mirror,41 x 2 x 46H,1402SL-1*
1402-9,Chest,43 x 20 x 49.5H,1402SL-1*
1402-11,TV Chest,42 x 20 x 43H,1402SL-1*
1402KW-1CK*,California King,HB: 65.25H FB: 36H,1402W-1*
1402KW-1EK*,Eastern King,HB: 65.25H FB: 36H,1402W-1*
1402W-1*,Queen Bed,HB: 65.25H FB: 36H,1402W-1*
1402W-4,Night Stand,27 x 18 x 30H,1402W-1*
1402W-5,Dresser,64 x 20 x 40H,1402W-1*
1402W-6SW,Swivel Mirror,46 x 3.5 x 39.5H,1402W-1*
1402W-9,Chest,43 x 20 x 49.5H,1402W-1*
1402W-11,TV Chest,42 x 20 x 43H,1402W-1*
1422K-1CK*,California King,HB: 63H FB: 40H,1422-1*
1422K-1EK*,Eastern King,HB: 63H FB: 40H,1422-1*
1422-1*,Queen Bed,HB: 63H FB: 40H,1422-1*
1422-4,Night Stand,30.5 x 19.5 x 29.5H,1422-1*
1422-5,Dresser,65.5 x 19.5 x 45.5H,1422-1*
1422-6,Swivel Mirror,40 x 2.25 x 37H,1422-1*
1422-9,Chest,41.5 x 19.5 x 55.25H,1422-1*
1600K-1CK*,California King Platform Bed,HB: 48H  FB:11H,1600-1*
1600K-1EK*,Eastern King Platform Bed,HB: 48H  FB:11H,1600-1*
1600-1*,Queen Platform Bed,HB: 48H  FB:11H,1600-1*
1600-4,Night Stand,24 x 17 x 24.75H,1600-1*
1600-5,Dresser,66 x 17.5 x 37.75H,1600-1*
1600-6,Mirror,52 x 1.25 x 40H,1600-1*
1600-9,Chest,36 x 17.5 x 54H,1600-1*
1603K-1CK*,California King bed,HB:75H FB: 28H,1603-1*
1603K-1EK*,Eastern King Bed,HB:75H FB: 28H,1603-1*
1603-1*,Queen Bed,HB:75H FB: 28H,1603-1*
1603-4,Night Stand,36 x 19 x 31.75H,1603-1*
1603-5,Dresser,72 x 20 x 39H,1603-1*
1603-6,Mirror,47.75 x 2 x 49H,1603-1*
1603-9,Chest,44 x 19 x 53.5H,1603-1*
1604K-1CK*,California King bed,HB: 59H  FB: 23H,1604-1*
1604K-1EK*,Eastern King Bed,HB: 59H  FB: 23H,1604-1*
1604-1*,Queen Bed,HB: 59H  FB: 23H,1604-1*
1604F-1*,Full Bed,HB: 59H  FB: 23H,1604-1*
1604-4,Night Stand,23.75 x 17.75 x 23.5H,1604-1*
1604-5,Dresser,63 x 17.75 x 35H,1604-1*
1604-6,Mirror,42 x 1 x 39H,1604-1*
1604-9,Chest,39.5 x 17.75 x 51.5H,1604-1*
1605K-1CK*,California King bed,HB: 66H  FB: 23.5H,1605-1*
1605K-1EK*,Eastern King Bed,HB: 66H  FB: 23.5H,1605-1*
1605-1*,Queen Bed,HB: 66H  FB: 23.5H,1605-1*
1605-4,Night Stand,28.5 x 18 x 28.25H,1605-1*
1605-5,Dresser,66 x 19 x 37.5H,1605-1*
1605-6,Mirror,39.25 x 1.75 x 39.25H,1605-1*
1605-9,Chest,39 x 19 x 53.25H,1605-1*
1606K-1CK*,California King Platform Bed with Footboard Storage,HB: 60H FB: 26H,1606-1*
1606K-1EK*,Eastern King Platform Bed with Footboard Storage,HB: 60H FB: 26H,1606-1*
1606-1*,Queen Platform Bed with Footboard Storage,HB: 60H FB: 26H,1606-1*
1606-4,"Night Stand, Hidden Drawer",28 x 18 x 29H,1606-1*
1606-5,"Dresser, Hidden Drawer",66 x 18 x 40H,1606-1*
1606-6,Mirror,46.25 x 3.25 x 39H,1606-1*
1606-9,Chest,40 x 18 x 56H,1606-1*
1704K-1CK*,California King Bed,HB: 74.5H FB: 19H,1704-1*
1704K-1EK*,Eastern King Bed,HB: 74.5H FB: 19H,1704-1*
1704-1*,Queen Bed,HB: 74.5H FB: 19H,1704-1*
1704-4,Night Stand,31.5 x 18 x 30H,1704-1*
1704-5,Dresser,69.5 x 20 x 42H,1704-1*
1704-6,Mirror,48.5 x 1.75 x 45H,1704-1*
1704-9,Chest,39.5 x 19 x 56H,1704-1*
1704-11,TV Chest,49.5 x 19 x 38H,1704-1*
1706K-1CK*,California King,HB: 56.25H FB: 12.25H,1706-1*
1706K-1EK*,Eastern King,HB: 56.25H FB: 12.25H,1706-1*
1706-1*,Queen Bed,HB: 56.25H FB: 12.25H,1706-1*
1706F-1*,Full Bed,HB: 56.25H FB: 12.25H,1706-1*
1706-4,Night Stand,23.25 x 15.5 x 22.5H,1706-1*
1706-5,Dresser,63 x 17.75 x 34H,1706-1*
1706-6,Mirror,46 x 1.5 x 37.5H,1706-1*
1706-9,Chest,35 x 17.75 x 51H,1706-1*
1706KLED-1CK*,"California King bed, LED Lighting",HB: 56.25H  FB: 12.25H,1706LED-1*
1706KLED-1EK*,"Eastern King Bed, LED Lighting",HB: 56.25H  FB: 12.25H,1706LED-1*
1706LED-1*,"Queen Bed, LED Lighting",HB: 56.25H  FB: 12.25H,1706LED-1*
1706FLED-1*,"Full Bed, LED Lighting",HB: 56.25H  FB: 12.25H,1706LED-1*
1706-4,Night Stand,23.25 x 15.5 x 22.5H,1706LED-1*
1706-5,Dresser,63 x 17.75 x 34H,1706LED-1*
1706-6,Mirror,46 x 1.5 x 37.5H,1706LED-1*
1706-9,Chest,35 x 17.75 x 51H,1706LED-1*
1707K-1CK*,California King,HB: 67.25H FB: 20.75H,1707-1*
1707K-1EK*,Eastern King,HB: 67.25H FB: 20.75H,1707-1*
1707-1*,Queen Bed,HB: 67.25H FB: 20.75H,1707-1*
1707-4,Night Stand,28.25 x 19 x 29.5H,1707-1*
1707-5,Dresser,67 x 19 x 39H,1707-1*
1707-6,Mirror,46 x 1.5 x 36.75H,1707-1*
1707-9,Chest,42 x 19 x 55.5H,1707-1*
1707KNP-1CK*,California King Poster bed,HB: 68H  FB: 37.5H,1707NP-1*
1707KNP-1EK*,Eastern King Poster Bed,HB: 68H  FB: 37.5H,1707NP-1*
1707NP-1*,Queen Poster Bed,HB: 68H  FB: 37.5H,1707NP-1*
1707-4,Night Stand,28.25 x 19 x 29.5H,1707NP-1*
1707-5,Dresser,67 x 19 x 39H,1707NP-1*
1707NP-6,Mirror for Poster Bed,46 x 2 x 39H,1707NP-1*
1707-9,Chest,42 x 19 x 55.5H,1707NP-1*
1708K-1CK*,California King Sleigh Bed,HB: 60H FB: 16H,1708-1*
1708K-1EK*,Eastern King Sleigh Bed,HB: 60H FB: 16H,1708-1*
1708-1*,Queen Sleigh Bed,HB: 60H FB: 16H,1708-1*
1708F-1*,Full Sleigh Bed,HB: 60H FB: 16H,1708-1*
1708T-1*,Twin Sleigh Bed,HB: 60H FB: 16H,1708-1*
1708-4,Night Stand,24 x 17 x 27.5H,1708-1*
1708-5,Dresser,59 x 18 x 37H,1708-1*
1708-6,Mirror,47.25 x 1 x 38H,1708-1*
1708-9,Chest,36 x 18 x 48H,1708-1*
1708KBK-1CK*,California King bed,HB: 60H  FB: 16H,1708BK-1*
1708KBK-1EK*,Eastern King Bed,HB: 60H  FB: 16H,1708BK-1*
1708BK-1*,Queen Bed,HB: 60H  FB: 16H,1708BK-1*
1708FBK-1*,Full Bed,HB: 60H  FB: 16H,1708BK-1*
1708TBK-1*,Twin Bed,HB: 60H  FB: 16H,1708BK-1*
1708BK-4,Night Stand,24 x 17 x 27.5H,1708BK-1*
1708BK-5,Dresser,59 x 18 x 37H,1708BK-1*
1708BK-6,Mirror,47.25 x 1 x 38H,1708BK-1*
1708BK-9,Chest,36 x 18 x 48H,1708BK-1*
1711K-1CK*,California King Platform Bed with Footboard Storage,HB: 58H FB: 18H,1711-1*
1711K-1EK*,Eastern King Bed with Footboard Storage,HB: 58H FB: 18H,1711-1*
1711-1*,Queen Platform Bed with Footboard Storage,HB: 58H FB: 18H,1711-1*
1711F-1*,Full Bed,HB: 58H  FB: 18H,1711-1*
1711-4,Night Stand,27 x 16 x 27H,1711-1*
1711-5,Dresser,60 x 17 x 36H,1711-1*
1711-6,Mirror,42 x 1.25 x 37.5H,1711-1*
1711-9,Chest,38 x 17 x 52H,1711-1*
1711K-1CK*,California King Platform Bed with Footboard Storage,HB: 58H FB: 18H,1711NC-1*
1711K-1EK*,Eastern King Bed with Footboard Storage,HB: 58H FB: 18H,1711NC-1*
1711-1*,Queen Platform Bed with Footboard Storage,HB: 58H FB: 18H,1711NC-1*
1711F-1*,Full Bed,HB: 58H  FB: 18H,1711NC-1*
1711NC-4,Night Stand,27 x 16 x 27H,1711NC-1*
1711NC-5,Dresser,60 x 17 x 36H,1711NC-1*
1711NC-6,Mirror,42 x 1.25 x 37.5H,1711NC-1*
1711NC-9,Chest,38 x 17 x 52H,1711NC-1*
1714KBK-1CK*,California King Sleigh Platform Bed with Footboard Storage,HB: 57H FB: 20.5H,1714BK-1*
1714KBK-1EK*,Eastern King Sleigh Bed with Footboard Storage,HB: 57H FB: 20.5H,1714BK-1*
1714BK-1*,Queen Sleigh Platform Bed with Footboard Storage,HB: 57H FB: 20.5H,1714BK-1*
1714BK-4,"Night Stand, Hidden Drawer",29 x 18 x 29.25H,1714BK-1*
1714BK-5,"Dresser, Hidden Drawer",65.25 x 18 x 40H,1714BK-1*
1714BK-6,Mirror,42.25 x 1.75 x 36.5H,1714BK-1*
1714BK-9,Chest,40 x 18 x 54H,1714BK-1*
1714KW-1CK*,California King Sleigh Platform Bed with Footboard Storage,HB: 57H FB: 20.5H,1714KW-1*
1714KW-1EK*,Eastern King Sleigh Bed with Footboard Storage,HB: 57H FB: 20.5H,1714KW-1*
1714W-1*,Queen Sleigh Platform Bed with Footboard Storage,29 x 18 x 29.25H,1714KW-1*
1714W-4,"Night Stand, Hidden Drawer",65.25 x 18 x 40H,1714KW-1*
1714W-5,"Dresser, Hidden Drawer",42.25 x 1.75 x 36.5H,1714KW-1*
1714W-6,Mirror,40 x 18 x 54H,1714KW-1*
1714W-9,Chest,"",1714KW-1*
1715K-1CK*,California King Platform Bed,HB: 53H  FB: 17H,1715-1*
1715K-1EK*,Eastern King Platform Bed,HB: 53H  FB: 17H,1715-1*
1715-1*,Queen Platform Bed,HB: 53H  FB: 17H,1715-1*
1715-4,Night Stand,24 x 18 x 24H,1715-1*
1715-5,Dresser,66 x 19 x 36H,1715-1*
1715-6,Mirror,40 x 3 x 36H,1715-1*
1715-9,Chest,35 x 19 x 52H,1715-1*
1717K-1CK*,California King Bed,HB: 65H FB: 28H,1717-1*
1717K-1EK*,Eastern King Bed,HB: 65H FB: 28H,1717-1*
1717-1*,Queen Bed,HB: 65H FB: 28H,1717-1*
1717-4,Night Stand,30 x 19 x 29H,1717-1*
1717-5,Dresser,66 x 19 x 39H,1717-1*
1717-6,Mirror,46 x 1.75 x 42H,1717-1*
1717-9,Chest,42 x 19 x 56H,1717-1*
1717-11,TV Chest,44 x 19 x 39H,1717-1*
1718KGY-1CK*,California King Platform Bed with Footboard Storage,HB: 57H FB: 21.5H,1718GY-1*
1718KGY-1EK*,Eastern King Platform Bed with Footboard Storage,HB: 57H FB: 21.5H,1718GY-1*
1718GY-1*,Queen Platform Bed with Footboard Storage,HB: 57H FB: 21.5H,1718GY-1*
1718GY-4,Night Stand with Hidden Drawer,28 x 18 x 29.25H,1718GY-1*
1718GY-5,Dresser with Hidden Drawer,65.25 x 18 x 40H,1718GY-1*
1718GY-6,Mirror,42 x 1.5 x 36.5H,1718GY-1*
1718GY-9,Chest,40 x 18 x 52H,1718GY-1*
1719K-1CK*,California King Sleigh bed,HB: 56H  FB: 30H,1719-1*
1719K-1EK*,Eastern King Sleigh Bed,HB: 56H  FB: 30H,1719-1*
1719-1*,Queen Sleigh Bed,HB: 56H  FB: 30H,1719-1*
1719-4,"Night Stand, Hidden Drawer",26 x 16 x 26H,1719-1*
1719-5,"Dresser, Two Hidden Drawers",60 x 17 x 36H,1719-1*
1719-6,Mirror,40 x 1.5 x 38H,1719-1*
1719-9,"Chest, Hidden Drawer",40 x 17 x 48H,1719-1*
1721K-1CK*,California King bed,HB: 63.5H  FB: 25.5H,1721-1*
1721K-1EK*,Eastern King Bed,HB: 63.5H  FB: 25.5H,1721-1*
1721-1*,Queen Bed,HB: 63.5H  FB: 25.5H,1721-1*
1721-4,Night Stand,28.5 x 18 x 29.75H,1721-1*
1721-5,Dresser,63 x 18 x 38.5H,1721-1*
1721-6,Mirror,42.25 x 1.25 x 36.5H,1721-1*
1721-9,Chest,39.5 x 18 x 58H,1721-1*
1722K-1CK*,California King bed,HB: 62H FB: 23.25H,1722-1*
1722K-1EK*,Eastern King Bed,HB: 62H FB: 23.25H,1722-1*
1722-1*,Queen Bed,HB: 62H FB: 23.25H,1722-1*
1722-4,"Night Stand, Hidden Drawer",28.75 x 18 x 29.75H,1722-1*
1722-5,"Dresser, Hidden Drawer",66 x 18 x 40H,1722-1*
1722-6,Mirror,42 x 2 x 37H,1722-1*
1722-9,Chest,40 x 18 x 58H,1722-1*
1723K-1CK*,California King Platform Bed,HB: 54H FB: 13H,1723-1*
1723K-1EK*,Eastern King Platform Bed,HB: 54H FB: 13H,1723-1*
1723-1*,Queen Platform Bed,HB: 54H FB: 13H,1723-1*
1723-4,Night Stand,27 x 17 x 25.5H,1723-1*
1723-5,Dresser,66 x 19 x 36.5H,1723-1*
1723-6,Mirror,46.25 x 1.25 x 39.75H,1723-1*
1723-9,Chest,40 x 19 x 54H,1723-1*
1726K-1CK*,California King Platform Bed with Footboard Storage,HB: 70.75H  FB: 20H,1726-1*
1726K-1EK*,Eastern King Platform Bed with Footboard Storage,HB: 70.75H  FB: 20H,1726-1*
1726-1*,Queen Platform Bed with Footboard Storage,HB: 70.75H  FB: 20H,1726-1*
1726-4,Night Stand,30 x 17 x 30H,1726-1*
1726-5,Dresser,64 x 18 x 40H,1726-1*
1726-6,Mirror,47.75 x 2.75 x 42.5H,1726-1*
1726-9,Chest,40 x 19 x 54H,1726-1*
1727KN-1CK*,California King bed,HB: 60H  FB: 19H,1727N-1*
1727KN-1EK*,Eastern King Bed,HB: 60H  FB: 19H,1727N-1*
1727N-1*,Queen Bed,HB: 60H  FB: 19H,1727N-1*
1727N-4,Night Stand,26 x 17 x 28H,1727N-1*
1727N-5,Dresser,64 x 18 x 38H,1727N-1*
1727N-6,Mirror,44 x 1 x 37H,1727N-1*
1727N-9,Chest,36 x 18 x 49H,1727N-1*
1728K-1CK*,California King bed,HB: 66.5H  FB: 20H,1728-1*
1728K-1EK*,Eastern King Bed,HB: 66.5H  FB: 20H,1728-1*
1728-1*,Queen Bed,HB: 66.5H  FB: 20H,1728-1*
1728-4,Night Stand,28 x 17 x 28H,1728-1*
1728-5,Dresser,63 x 18 x 40H,1728-1*
1728-6,Mirror,48 x 1.75 x 37H,1728-1*
1728-9,Chest,38 x 17 x 51.75H,1728-1*
1729K-1CK*,California King bed,HB:62H  FB:20H,1729-1*
1729K-1EK*,Eastern King Bed,HB:62H  FB:20H,1729-1*
1729-1*,Queen Bed,HB:62H  FB:20H,1729-1*
1729-4,Night Stand,28 x 17 x 27.5H,1729-1*
1729-5,Dresser,66 x 18 x 37.25H,1729-1*
1729-6,Mirror,52 x 1.5 x 40H,1729-1*
1729-9,Chest,38 x 18 x 56H,1729-1*
1730K-1CK*,California King bed,HB:53.75H FB: 15.25H,1730-1*
1730K-1EK*,Eastern King Bed,HB:53.75H FB: 15.25H,1730-1*
1730-1*,Queen Bed,HB:53.75H FB: 15.25H,1730-1*
1730-4,Night Stand,26.25 x 18.25 x 27.75H,1730-1*
1730-5,Dresser,67.25 x 18.75 x 37.75H,1730-1*
1730-6,Mirror,51 x 1.25 x 38.25H,1730-1*
1730-9,Chest,38 x 18.75 x 53.25H,1730-1*
1730KGY-1CK*,California King bed,HB: 53.75H  FB: 15.25H,1730GY-1*
1730KGY-1EK*,Eastern King Bed,HB: 53.75H  FB: 15.25H,1730GY-1*
1730GY-1*,Queen Bed,HB: 53.75H  FB: 15.25H,1730GY-1*
1730GY-4,Night Stand,26.25 x 18.25 x 27.75H,1730GY-1*
1730GY-5,Dresser,67.25 x 18.75 x 37.75H,1730GY-1*
1730GY-6,Mirror,51 x 1.25 x 38.25H,1730GY-1*
1730GY-9,Chest,38 x 18.75 x 53.25H,1730GY-1*
1733K-1CK*,California King Sleigh Bed,HB: 56H FB: 20H,1733-1*
1733K-1EK*,Eastern King Sleigh Bed,HB: 56H FB: 20H,1733-1*
1733-1*,Queen Sleigh Bed,HB: 56H FB: 20H,1733-1*
1733-4,"Night Stand, Pull-Out Tray",25 x 17.5 x 27H,1733-1*
1733-5,Dresser,62 x 17.5 x 36H,1733-1*
1733-6,Mirror,42 x 2.25 x 42H,1733-1*
1733-9,Chest,38 x 17.5 x 53H,1733-1*
1737KNC-1CK*,California King Sleigh Bed,HB: 50H FB: 18H,1737NC-1*
1737KNC-1EK*,Eastern King Sleigh Bed,HB: 50H FB: 18H,1737NC-1*
1737NC-1*,Queen Sleigh Bed,HB: 50H FB: 18H,1737NC-1*
1737NC-4,"Night Stand, Glass",23.5 x 17.5 x 24.5H,1737NC-1*
1737NC-5,Dresser,61.5 x 20 x 36.75H,1737NC-1*
1737NC-6,Mirror,47.75 x 1 x 38.25H,1737NC-1*
1737NC-9,Chest,36 x 18.5 x 47.5H,1737NC-1*
1737NC-11,TV Chest,41.75 x 18.25 x 41H,1737NC-1*
1737KNGY-1CK*,California King Sleigh Bed,HB: 50H FB: 18H,1737NGY-1*
1737KNGY-1EK*,Eastern King Sleigh Bed,HB: 50H FB: 18H,1737NGY-1*
1737NGY-1*,Queen Sleigh Bed,HB: 50H FB: 18H,1737NGY-1*
1737NGY-4,"Night Stand, Glass",23.5 x 17.5 x 24.5H,1737NGY-1*
1737NGY-5,Dresser,61.5 x 20 x 36.75H,1737NGY-1*
1737NGY-6,Mirror,47.75 x 1 x 38.25H,1737NGY-1*
1737NGY-9,Chest,36 x 18.5 x 47.5H,1737NGY-1*
1737NGY-11,TV Chest,41.75 x 18.25 x 41H,1737NGY-1*
1737KW-1CK*,California King Sleigh Bed,HB: 50H FB: 18H,1737W-1*
1737KW-1EK*,Eastern King Sleigh Bed,HB: 50H FB: 18H,1737W-1*
1737W-1*,Queen Sleigh Bed,HB: 50H FB: 18H,1737W-1*
1737W-4,"Night Stand, Glass Top",23.5 x 17.5 x 24.5H,1737W-1*
1737W-5,Dresser,61.5 x 20 x 36.75H,1737W-1*
1737W-6,Mirror,47.75 x 1 x 38.25H,1737W-1*
1737W-9,Chest,36 x 18.5 x 47.5H,1737W-1*
1737W-11,TV Chest,41.75 x 18.25 x 41H,1737W-1*
1740K-1CK*,California King Sleigh Bed,HB: 60H FB: 12.5H,1740-1*
1740K-1EK*,Eastern King Sleigh Bed,HB: 60H FB: 12.5H,1740-1*
1740-1*,Queen Sleigh Bed,HB: 60H FB: 12.5H,1740-1*
1740-4,Night Stand,27 x 16.5 x 26.5H,1740-1*
1740-5,Dresser,63.5 x 18 x 39H,1740-1*
1740-6,Mirror,44 x 1.25 x 42H,1740-1*
1740-9,Chest,37 x 18 x 52H,1740-1*
1740-11,TV Chest,44 x 16.5 x 35.75H,1740-1*
1740PLK-1CK*,California King Sleigh Platform Bed with Footboard Storage,HB: 60H FB: 17H,1740PL-1*
1740PLK-1EK*,Eastern King Sleigh Bed with Footboard Storage,HB: 60H FB: 17H,1740PL-1*
1740PL-1*,Queen Sleigh Platform Bed with Footboard Storage,HB: 60H FB: 17H,1740PL-1*
1740-4,Night Stand,27 x 16.5 x 26.5H,1740PL-1*
1740-5,Dresser,63.5 x 18 x 39H,1740PL-1*
1740-6,Mirror,44 x 1.25 x 42H,1740PL-1*
1740-9,Chest,37 x 18 x 52H,1740PL-1*
1740-11,TV Chest,44 x 16.5 x 35.75H,1740PL-1*
1743K-1CK*,California King Platform Bed,HB: 47.25H  FB: 11.75H,1743-1*
1743K-1EK*,Eastern King Platform Bed,HB: 47.25H  FB: 11.75H,1743-1*
1743-1*,Queen Platform Bed,HB: 47.25H  FB: 11.75H,1743-1*
1743-4,Night Stand,26.75 x 17 x 25.5H,1743-1*
1743-5,Dresser,61 x 17 x 36H,1743-1*
1743-6,Mirror,47 x 1.25 x 41H,1743-1*
1743-9,Chest,36.5 x 17 x 51.5H,1743-1*
1744K-1CK*,California King Platform Bed,HB: 46H  FB: 12H,1744-1*
1744K-1EK*,Eastern King Platform Bed,HB: 46H  FB: 12H,1744-1*
1744-1*,Queen Platform Bed,HB: 46H  FB: 12H,1744-1*
1744-4,Night Stand,28 x 17 x 24H,1744-1*
1744-5,Dresser,64 x 18 x 33H,1744-1*
1744-6,Mirror,36 x 2 x 40H,1744-1*
1744-9,Chest,37 x 18 x 55H,1744-1*
1745K-1CK*,California King Platform Bed,HB: 44.5H  FB: 14.5H,1745-1*
1745K-1EK*,Eastern King Platform Bed,HB: 44.5H  FB: 14.5H,1745-1*
1745-1*,Queen Platform Bed,HB: 44.5H  FB: 14.5H,1745-1*
