name,number,description,category
Ride Collection,1178BLK,"A fun and unique way to add a little color to your casual recreation or dining room is the Ride Collection. Offered in a variety of contemporary colors, shapes and sizes, each barstool features a gas lift mechanism that allows for the stool to rise and descend with the simple touch of a lever. Sold in two-piece per carton.",dining
Collection,1188BK-24,"",dining
Crown Point Collection,1372-36,Adorn your dining area with Crown Point Collection. This grand scale casual dining in warm merlot finish is as strong and durable as they are stunning. Table top is constructed of mango veneer with strong support tapered legs. Attractive X-back dining chair with comfortable leather-look dark brown seat completes the unsophisticated streamlined look,dining
Crown Point Collection,1372-78,Adorn your dining area with Crown Point Collection. This grand scale casual dining in warm merlot finish is as strong and durable as they are stunning. Table top is constructed of mango veneer with strong support tapered legs. Attractive X-back dining chair with comfortable leather-look dark brown seat completes the unsophisticated streamlined look,dining
Prenzo Collection,1390-102,"European elegance at its best. Flowing lines, detailed carvings, beautiful veneer treatments and grand scale are some of the many design elements of our Prenzo Collection. The collection is inspired by the grand estates of the Tuscan region of Italy where a casual yet elegant lifestyle is best experienced. Carving is softened with a warm brown finish on beautiful cherry and ash burl veneers, further accented with burnishing and light distressing. The Prenzo Collection will add an air of magnificence to your home while still allowing for a more casually refined lifestyle.",dining
Prenzo Collection,1390-76*,"European elegance at its best. Flowing lines, detailed carvings, beautiful veneer treatments and grand scale are some of the many design elements of our Prenzo Collection. The collection is inspired by the grand estates of the Tuscan region of Italy where a casual yet elegant lifestyle is best experienced. Carving is softened with a warm brown finish on beautiful cherry and ash burl veneers, further accented with burnishing and light distressing. The Prenzo Collection will add an air of magnificence to your home while still allowing for a more casually refined lifestyle.",dining
Ohana Collection,1393BK-36,"The design of Ohana Collection captures the essence of a casual country home. Its antique white and warm cherry, or antique black and warm cherry finishes give it a striking two-toned apprearance. The solid wood table top and unique chair back supported by turned legs complement Ohana Collection with a touch of elegance. This group is further accented by the curio which features two sliding glass doors. It’s a warm look you’ll love having in your home.",dining
Ohana Collection,1393BK-48*,"The design of Ohana Collection captures the essence of a casual country home. Its antique white and warm cherry, or antique black and warm cherry finishes give it a striking two-toned apprearance. The solid wood table top and unique chair back supported by turned legs complement Ohana Collection with a touch of elegance. This group is further accented by the curio which features two sliding glass doors. It’s a warm look you’ll love having in your home.",dining
Ohana Collection,1393BK-78,"The design of Ohana Collection captures the essence of a casual country home. Its antique white and warm cherry, or antique black and warm cherry finishes give it a striking two-toned apprearance. The solid wood table top and unique chair back supported by turned legs complement Ohana Collection with a touch of elegance. This group is further accented by the curio which features two sliding glass doors. It’s a warm look you’ll love having in your home.",dining
Ohana Collection,1393W-36,"The design of Ohana Collection captures the essence of a casual country home. Its antique white and warm cherry, or antique black and warm cherry finishes give it a striking two-toned apprearance. The solid wood table top and unique chair back supported by turned legs complement Ohana Collection with a touch of elegance. This group is further accented by the curio which features two sliding glass doors. It’s a warm look you’ll love having in your home.",dining
Ohana Collection,1393W-48*,"The design of Ohana Collection captures the essence of a casual country home. Its antique white and warm cherry, or antique black and warm cherry finishes give it a striking two-toned apprearance. The solid wood table top and unique chair back supported by turned legs complement Ohana Collection with a touch of elegance. This group is further accented by the curio which features two sliding glass doors. It’s a warm look you’ll love having in your home.",dining
Ohana Collection,1393W-78,"The design of Ohana Collection captures the essence of a casual country home. Its antique white and warm cherry, or antique black and warm cherry finishes give it a striking two-toned apprearance. The solid wood table top and unique chair back supported by turned legs complement Ohana Collection with a touch of elegance. This group is further accented by the curio which features two sliding glass doors. It’s a warm look you’ll love having in your home.",dining
Palace Collection,1394-108,"The Palace Collection exemplifies the best of Old World Europe. Egg and dart moldings, rope twists, acanthus and tobacco leaf carvings, and florets accentuate each piece; the Palace Collection has it all. These many exquisite details married with a rich brown finish on cherry veneers with gold highlights combination to create an ideal European environment worthy of the nobles of yesteryear and the sophisticated homeowner of today. Bring Europe home with the Palace Collection.",dining
Moorewood Park Collection,1704-108,"Classic elements combine to create the refined styling of the Moorewood Park Collection. The casual pecan finish over pecan veneers belies the expected vision of stuffy traditional design with the light finish creating a unique statement to the medallion and gracefully scrolled motifs that feature prominently throughout the collection. Two elegant table options allow for perfect placement within your dining room – the first, a 108-inch rectangular top leg table and the second, a round 60-inch fixed-top table. Flanking the two table options are the subtly ornate dining chairs with their prominent medallion backs and decorative neutral tone seats. The china features canted curved pilasters and legs that enhance the profile of the collection while button and bale, along with knob, hardware featured in an antiqued bronze finish lend subtle contrast. Behind glass display storage along with the doors and drawers of the supporting buffet provides ample storage space for your tabletop accessories.",dining
Moorewood Park Collection,1704-60,"Classic elements combine to create the refined styling of the Moorewood Park Collection. The casual pecan finish over pecan veneers belies the expected vision of stuffy traditional design with the light finish creating a unique statement to the medallion and gracefully scrolled motifs that feature prominently throughout the collection. Two elegant table options allow for perfect placement within your dining room – the first, a 108-inch rectangular top leg table and the second, a round 60-inch fixed-top table. Flanking the two table options are the subtly ornate dining chairs with their prominent medallion backs and decorative neutral tone seats. The china features canted curved pilasters and legs that enhance the profile of the collection while button and bale, along with knob, hardware featured in an antiqued bronze finish lend subtle contrast. Behind glass display storage along with the doors and drawers of the supporting buffet provides ample storage space for your tabletop accessories.",dining
Holverson Collection,1715-36*,"Heavily influenced by industrial design, the Holverson Collection will lend a unique look to your personal space. Metal framing provides sturdy structure and profile to each piece in this collection. Faux rivets provide additional detail to the metal bracketing that is prominently on display. The two table offerings – rectangular dining height and fixed-top counter height - allow for perfect placement within your casual dining space. Side chair for both table heights present the opportunity to customize seating to fit your lifestyle. A rustic brown milk crate finish is utilized to highlight the acacia veneer. The open display hutch paired with the drop front server base, provides ample display and behind door storage for your tabletop accessories.",dining
Holverson Collection,1715-94*,"Heavily influenced by industrial design, the Holverson Collection will lend a unique look to your personal space. Metal framing provides sturdy structure and profile to each piece in this collection. Faux rivets provide additional detail to the metal bracketing that is prominently on display. The two table offerings – rectangular dining height and fixed-top counter height - allow for perfect placement within your casual dining space. Side chair for both table heights present the opportunity to customize seating to fit your lifestyle. A rustic brown milk crate finish is utilized to highlight the acacia veneer. The open display hutch paired with the drop front server base, provides ample display and behind door storage for your tabletop accessories.",dining
Begonia Collection,1718GY-90*,"Casual transitional styling lends versatility to the placement of the Begonia Collection in a number of dining room settings. The gray finish and traditional styling of the table, chairs and server lends distinctly to the execution of different looks from traditional to country casual. Knob hardware punctuates the look of each framed drawer and door front on accompanying server. Behind glass door display storage and wine glass rack provide additional functionality neutral toned fabric chairs perch atop turned legs and feature nailhead accent that serves to define the chair back’s profile.",dining
Alouette Collection,17811*,"Like a window into your design world, the Alouette Collection provides a classic, yet modern platform for your dining experience. Offered in a rectangular or square top, this all glass table is a vision to behold.",dining
Russian Hill Collection,1808-112*,"Blending the classic aesthetic of traditional design is the Russian Hill Collection. The nod to Old World styling comes in elements such as dental, rope and bead molding, shell motifs and faux marble accent, this dining collection goes above and beyond to create the desired look. An elegant double pedestal table serves the main course of this refined collection. Acanthus scroll design encompasses the table apron and complement the wood frame fabric chairs. The stately china stands as the focal point topped with a carved shell accent and elaborate acanthus scroll design. The server features faux marble top, glass and wood door fronts, wine storage as well as service drawers. Further lending to the design of the china and server are the fixed antique finished hardware and pilaster accenting in the style of Corinthian columns. The Russian Hill Collection is offered in a traditional warm cherry finish with gold tipping solidifying the interpretation on traditional décor.",dining
Catalonia Collection,1824-112*,"Old-World European styling is captured in the dramatically elegant Catalonia Collection. Traditional design elements reign at every turn – egg and dart molding, acanthus leaf carving, bead molding, gold tipping and extravagant carvings – creating a sophisticated look for your dining room. Each drawer front of the china and server features antiqued brass fixed-drop hardware with decorative flourish that furthers the elegant appointments that embellish this collection. The shield back chairs feature elegantly patterned fabric seats. A traditional cherry finish is utilized to highlight the cherry veneer of the set and subtle decorative inlay pattern found on the table’s top.",dining
Chambord Collection,1828-92,"Modern elegance takes form in the Chambord Collection. Immediately catching your eye is the striking champagne gold finish, an opulent mix of silver and gold hues, elegantly accented by the faux silk fabric and gold brushed hardware that is featured on select pieces of the collection. The serpentine-fronted table, china, and server are adorned with canted pilasters featuring overlay fretwork, scalloped bases and delicately splayed cabriole legs. Further lending to the lavish look of the collection is the faux silk back and seat of the coordinating chair. The server features drawer and door storage as well as an elegant quatrefoil hanging mirror. Completing the look of the collection is the graceful china. With mirrored backing, light feature, glass display shelving, and drawer storage, your dining room will be the talk of the dinner party.",dining
Florentina Collection,1867-102*,"The elaborate designs of Old World Europe are treated with a distinct modern touch in the Florentina Collection. The elegant pedestal base table serves as the focal point of this stunning dining offering. With details such as shell and acanthus leaf scrolling which grace the table’s apron to the eye-catching jewel tufting of the accompanying chairs, which reflect with a brilliance intended to accentuate the dusky taupe coloring of the faux silk and the rich silver – with gold undertone – finish of the wood veneer. The acanthus motif is carried over to the display china, along with carved cabriole feet, delicately designed knob hardware, glass shelving, and drawer storage, complete the traditional look of the collection.",dining
Anika Collection,1915-60,"Drawing inspiration from Danish mid-century modern design, the Anika Collection is a stylish addition to your home’s dining space. The gentle curve of the table top is perfectly accentuated by the accompanying wood framed chairs, all featuring legs that are the signature to this classic look. Off-white bi-cast vinyl padded chair seats provide stark contrast to the light ash finish over ash veneer, furthering the contemporary design. The accompanying server features brushed nickel hardware and soft close mechanisms on the doors and storage drawers for quiet and sure closure.",dining
Allura Collection,1916-84*,"Glamour reigns in the design of the Allura Collection. Alligator embossing is featured as a bold accent the silver finish of the collection while inset glass panels provide textural contrast and visual impact to the modern traditional framing. Providing additional glamour and functionality to your dining room are the china and bar. The illumination from the touch-engaged LED back-light of the bar front is an eye-catching detail that provides dramatic accent. The behind glass door display china also features LED lighting, as well as a mirrored back that reflects the accenting light.  The accompanying chairs feature crystal button tufting, on the fronts and backs, for an added hint of sparkle.",dining
Celandine Collection,1928-78*,"The look of traditional design is updated for the modern traditional home inthe Celandine Collection. The table leg of the collection stands proudly as themain platform of your formal dining room. Crystal tufting immediately drawsthe eyes to the pearlized finish of the bi-cast vinyl chair backs, while highpolished knob hardware stands out from the silver finish of the server. Shagreenembossing accents the table’s top as well the server’s drawer fronts. The serverfeatures built-in wine rack, drawer and behind door storage. With each of theaforementioned elements, subtle glamour will be achieved in the design ofyour elegant dining room.",dining
Bonaventure Park Collection,1935-110*,"With styling that exemplifies traditional design, the Bonaventure Park Collection exudes sophistication and refined elegance. Cantered pilasters frame the serpentine fronted china and server, while egg and dart molding, acanthus leaf motif and bale, and button hardware lend to the traditional look of all pieces. Burl inlay creates beautiful contrast to the gold-highlighted cherry finish of the collection. Two table options provide flexibility for placement in your dining space – the first, a 110-inch double pedestal base rectangular top table, the second, a 76-inch oval top single pedestal base table. Button-tufted traditional tweed fabric features prominently on the accompanying wood-framed chairs.",dining
Bonaventure Park Collection,1935-76*,"With styling that exemplifies traditional design, the Bonaventure Park Collection exudes sophistication and refined elegance. Cantered pilasters frame the serpentine fronted china and server, while egg and dart molding, acanthus leaf motif and bale, and button hardware lend to the traditional look of all pieces. Burl inlay creates beautiful contrast to the gold-highlighted cherry finish of the collection. Two table options provide flexibility for placement in your dining space – the first, a 110-inch double pedestal base rectangular top table, the second, a 76-inch oval top single pedestal base table. Button-tufted traditional tweed fabric features prominently on the accompanying wood-framed chairs.",dining
Lindley Collection,1947-96,"Modern traditional styling is lent a rustic touch in the design of the Lindley Collection. Oak veneers, over solid wood, are finished in a dusty gray that complements the rich tone of the natural wood look. The dining table features an X-support trestle base and is flanked by oval backed neutral toned fabric lending to versatile placement with your home d閏or. Round pull hardware punctuates each drawer front of the display china and server, while graceful lines lend a distinct feminine touch to the entire collection.",dining
Bevelle Collection,1958-96,"Modern glamour is exemplified in the design of the Bevelle Collection. Acrylic crystals frame each piece in the collection, reflecting the light to create eye-catching drama. The silver finish serves as the perfect complement to the high-polish decorative knob hardware of the china and server while medallion accents grace all pieces. Providing contrast to finish is the dark gray bi-cast vinyl of the side chairs and arm chairs. A coordinating bedroom is also available.",dining
Elsmere Collection,1978W-112*,"Traditional elegance is captured in the design of the Elsmere Collection. From the feminine shape of the bombe china base and table to the flair of feathered scroll that graces each piece of the dining suite, the romantic classicism of French provincial is perfectly executed. An antique gray finish is utilized to highlight the pine solids and tropical veneers with subtle silver tipping accents. Antiqued hardware with an elegant design that so perfectly complements the look of the group provides additional decorative accenting. The light linen fabric of the chairs with a hint of French Provincial design, as do the cabriole legs that support each piece of the collection.",dining
Beaumont Collection,2111-48,Clean contemporary design is the inspiration for the Beaumont Collection. Achieving the desired design of your home will require pieces that allow for your taste to shine. Contemporary route lines give way to rounded pilasters on the table legs. Available tables are offered in a 48-inch round or 72-inch rectangle top. Accenting chairs are covered in dark brown microfiber and feature cherry finished legs. Select hardwoods and the high pressure laminated tops are finished in a medium brown cherry.,dining
Beaumont Collection,2111-72,Clean contemporary design is the inspiration for the Beaumont Collection. Achieving the desired design of your home will require pieces that allow for your taste to shine. Contemporary route lines give way to rounded pilasters on the table legs. Available tables are offered in a 48-inch round or 72-inch rectangle top. Accenting chairs are covered in dark brown microfiber and feature cherry finished legs. Select hardwoods and the high pressure laminated tops are finished in a medium brown cherry.,dining
Orleans Collection,2168-108*,"The grandeur of Old World Europe is flawlessly executed in the Orleans Collection. Acanthus leaf carvings feature prominently and blend with elegantly appointed moldings on each piece of this stately dining room offering. Wreath accents lend dramatic flair to the double pedestal table base as does the sculpted lion’s foot, supporting the server. The tabletop richly hued matches cherry veneers featured on the decorative inlay, all surrounded by the elegantly carved rope twist edge. The china and accompanying server features include ample storage space, full extension glide drawers, with the center drawer opening to reveal protective felt serving piece storage. The heavily carved mirror frame provides an extra touch of elegance. The rich dark cherry finish with gold tipping completes the formal feel of the Orleans Collection.",dining
Orleans II Collection,2168WW-118*,"",dining
Deryn Park Collection,2243-114*,"Walking into the dining room that is occupied by the Deryn Park Collection will immediately invoke your love of the traditional aesthetic. Stately from every angle, sophisticated design elements blend to create this beautiful collection. Burl inset flanks the book-match veneered cherry-finished tabletop. With two table options – the rectangular double pedestal base, and the oval topped single pedestal – the collection allows you the flexibility to fit the scale of your dining room. Each chair features an elaborately designed back and a richly hued fabric cover. The china and coordinating server provide ample display and storage space for your tabletop accessories. The cherry finish is highlighted by gold tipping that accentuates the traditional feel of elegant Deryn Park Collection",dining
Deryn Park Collection,2243-76*,"Walking into the dining room that is occupied by the Deryn Park Collection will immediately invoke your love of the traditional aesthetic. Stately from every angle, sophisticated design elements blend to create this beautiful collection. Burl inset flanks the book-match veneered cherry-finished tabletop. With two table options – the rectangular double pedestal base, and the oval topped single pedestal – the collection allows you the flexibility to fit the scale of your dining room. Each chair features an elaborately designed back and a richly hued fabric cover. The china and coordinating server provide ample display and storage space for your tabletop accessories. The cherry finish is highlighted by gold tipping that accentuates the traditional feel of elegant Deryn Park Collection",dining
Junipero Collection,2423-36,"Utilizing the traditional elements of mission styling, the Junipero Collection adds the feel of the early 20th Century design movement to your casual dining room. The pedestal table base supports an oval top and features storage accessible behind the drop-panel door. Framing, unique to the classic style, carries from the chair backs to the table base. The dark cherry finish serves to highlight the wood veneer.",dining
Griffin Collection,2425-36,The transitional design of the five-piece Griffin Collection allows for versatile placement in a number of casual dining settings. The wide ladder back chairs feature black bi-cast vinyl seating that compliments the heavily burnished finish of this 40-inch fixed-top counter height table.,dining
Dover Collection,2434-48,"Dark brown PVC chairs compliment a rich espresso finished table in the transitional Dover Collection. This cleanly designed set seats four, making it a perfect addition to your casual dining space.",dining
Hawn Collection,2438-82,"Drawing from the basic form of the Arts &amp; Crafts movement and subtly adding modern lines, casual dining will never look the same in your home with the addition of the Hawn Collection. A rich walnut finish highlights the walnut veneer on this substantially sized table. Double X-back chairs feature a dark brown bi-cast vinyl seat that compliments the table and accompanying buffet server. Additional seating in the form of a tufted bench is also available.",dining
Clarice Collection,2447*,"The ultra contemporary design of the Clarice Collection will be at home in your modern dining room. Channel stitched, white PVC chairs tuck beneath the glossy white table top. Both chairs and table are supported by sleek chrome framing that completes the look of this stylish dining group.",dining
Decatur Collection,2456-36,"The casual Decatur Collection is the transitional style that you have been searching for in your dining space. Wood legs in espresso finish support both the marble tabletop and chair seats. Covered in dark brown bi-cast vinyl, the tufted accenting on the chair and bench lend not only to the design but also to your comfort, when you sit with family and friends over a casual meal. Also available in counter height dining.",dining
Decatur Collection,2456-64,"The casual Decatur Collection is the transitional style that you have been searching for in your dining space. Wood legs in espresso finish support both the marble tabletop and chair seats. Covered in dark brown bi-cast vinyl, the tufted accenting on the chair and bench lend not only to the design but also to your comfort, when you sit with family and friends over a casual meal. Also available in counter height dining.",dining
Decatur Collection,2456-64WM*,"The casual Decatur Collection is the transitional style that you have been searching for in your dining space. Wood legs in espresso finish support both the white marble table top and chair seats. Covered in dark brown bi-cast vinyl, the tufted accenting on the chair and bench lend not only to the design but also to your comfort, when you sit with family and friends over a casual meal. Also available in dark gray marble top.",dining
Andover Collection,2458,Your cozy breakfast nook will be complete with the Andover Collection. The transitional pedestal base lends a casual feel to this five-piece offering. The table and spindle-back chairs are featured in an antique oak and black two-tone finish.,dining
Andover Collection,2458-36,Your cozy breakfast nook will be complete with the Andover Collection. The transitional pedestal base lends a casual feel to this five-piece offering. The table and spindle-back chairs are featured in an antique oak and black two-tone finish.,dining
Brooksville Collection,2459,"The book-match veneer of the table and the double-X chair back design of the Brooksville Collection stand out as the focal points of this transitional six-piece dining group. The fixed-top table, chairs and bench are offered in a warm cherry finish. The chairs and bench feature black bi-cast vinyl upholstered seating. Seating six comfortably, the collection is a great addition to your casual dining area.",dining
Dandelion Collection,2466-48*,"Traditional style does not need to mean old and stuffy. Take the gracefully turned pedestal base and sweeping arm of the accenting chairs of the Dandelion Collection, and traditional style takes on a whole new meaning. The distressed dark brownish gray finish of the table is a fresh look, further complimented by the exquisitely soft grayish fabric covering each of the chairs. This collection is sure to be the highlight of your dining room.",dining
Oklahoma Collection,2469,"Sturdy for the daily activities of your family, the cozy five-piece Oklahoma Collection is the perfect addition to your dining space. Substantial double notched legs – a design that carries to the dark brown bi-cast vinyl seated chairs – support the double thick table top. The espresso finish along with the transitional design, allows for placement in a number of home designs.",dining
Alita Collection,2477-78,"A reflection of your taste for clean design with both traditional and modern flair, the Alita Collection perfectly encompasses your style preference. Warm burnishing on warm cherry finished patterned veneers add depth to the casual dining offering. Seat cushions are covered in dark brown bi-cast vinyl.",dining
Annabelle Collection,2479-42*,"For the ultimate in casual dining options, the Annabelle Collection is an answer for your contemporary vision. The fluted-base pedestal table is offered in 42-inch height. Further lending itself as a flexible design options are the swivel pub chairs in 29-inch seat height and swivel counter height chairs in 24-inch seat height – offered in four colors: brown, cream, green and red.",dining
Marcel Collection,2489-36XL*,"A classic addition to your casual dining room, your family and friends will enjoy the times they spend sitting around the Marcel Collection. Seating eight comfortably, the storage base counter height with butterfly leaf table is flanked by slat-back chairs featuring a warm brown fabric seat. Each piece of the collection is finished in a warm oak tone. The coordinating server features wine rack, drawer, and door storage.",dining
Atwood Collection,2505BK-36*,"At home in a kitchen nook or home bar, the Atwood Collection is an useful addition to any home. The threepiece table group features a drop-leaf table top, wine storage, and Napoleon back chairs. Available in black and espresso two-tone finish.",dining
Schaffer Collection,2513,"The warm cherry finish of the Schaffer Collection serves as a perfect accent to the transitional country style. The slat chair backs are topped with the softened lines frequently associated with country living. The six-piece dining group features table, four chairs and a bench. The seats of chair and bench are covered in dark brown bi-cast vinyl.",dining
Norman Collection,2514BK-36,"Perfectly scaled for a cozy dining area is the Norman Collection. The counter height table features double display shelves, providing ample storage and display space. Each chair, in this five-piece dining offering, has a double X-back design that lends a transitional feel. The black finish compliments the casual feel of this offering.",dining
Clayton Collection,2515-96,"Blending industrial and transitional style is the Clayton Collection. Clean lines and the warm burnished oak finish on pine veneers give the group a classic look, while the rod and turnbuckle accents on the table base and bench add the industrial flair that are so popular today. Planking is used to further achieved the design elements on both the table top and coordinating china curio. Glass fronted door storage as well as wine rack and drawers complete the look of the curio.",dining
Euro Casual Collection,2516-48*,With inspiration drawn from traditional French decorative accents the effortlessly elegant Euro Casual Collection adds warmth and charm to your dining room. A classic urn pedestal base acts as the sole support for the routed round table top. The rustic weathered finish on the birch veneers hints of time gone by and the complimenting fabric on the wood-framed accenting chairs lends a distinct flair to the collection.,dining
Broome Collection,2524-36*,"With just a hint of Craftsman styling and a defined transitional look, the Broome Collection provides you and your family ample space to enjoy your time together. The dark brown finish on hardwood veneers adds to the classic look of the collection. The counter height tabletop expands to seat eight comfortably and is supported by a storage base. The warm brown bi-cast vinyl seat of the chairs blends effortlessly with the table warm finish.",dining
Marie Louise Collection,2526-96*,With inspiration drawn from the traditional French decorative accents the effortlessly elegant Marie Louise Collection adds warmth and charm to your dining room. A classic urn double pedestal trestle base acts as the focal point of the collection. The rustic weathered oak finish on the pine veneers hints of time gone by and the button-tufted bomber jacket fabric on the wood-framed accenting chairs compliments the casually elegant table perfectly.,dining
Alouette Collection,2528-64*,"Like a window into your design world, the Alouette Collection provides a classic, yet modern platform for your dining experience. Offered in a rectangular or square top, this all glass table is a vision to behold.",dining
Hahn Collection,2529-64,"Neutral toned marble top stands proudly on the dark espresso finished base in the Hahn Collection. The coordinating chairs and optional bench are covered in dark brown bi-cast vinyl. A warm compliment to your modern or transitional dining room, the bold design is an instant classic.",dining
Devlin Collection,2538-60,The Devlin Collection offers the classic look of transitional styling with a nod to the Arts and Craft movement all in a well appointed six-piece group. Neutral tone fabric covers the seats of the chairs and bench in the espresso finished collection. Notch accent completes the look of the collection.,dining
Teague Collection,2544-64,"A natural selection for your transitional home, the Teague Collection will compliment your lifestyle. Faux marble is set in a diamond pattern in this casual dining offering. With dark brown bi-cast vinyl seating and a espresso finish to compliment it all, this dining collection will be a welcome addition to your home.",dining
Thurston Collection,2545-68,"A natural selection for your transitional home, the Thurston Collection will compliment your lifestyle. The diamond pattern of the faux marble is set within a bold wood frame. With dark brown bi-cast vinyl seating and espresso finish to compliment it all, this dining collection will be a welcome addition to your home.",dining
Keegan Collection,2546-96,"Exuding the sophisticated elegance that your formal dining room calls for, the Keegan Collection will wow your dinner guests. The china cabinet stands at attention, not only functioning as a storage facility for all of your tabletop finest, but also as the grand centerpiece of this stylish dining offering. For additional storage, or for smaller spaces, the server features wine storage and unique mirror accent that adds a small height to the standard server. Storage features prominently. The 96-inch tabletop with leg supports featuring a lovely veneer pattern that is highlighted by the rich brown cherry finish. Accenting hardware is featured in satin nickel. The complimenting chair features a neutral tone fabric seat and elegantly overlapping chair back design.",dining
Maeve Collection,2547-72,"Lacking any appearance of pretension, the Maeve Collection provides a stylish spot for your family to enjoy their time together. A dark cherry finish on the table and wood frame chairs is complimented by the seats of dark brown bi-cast vinyl covered chairs. The cutout that tops each chair back is a simple design element that lends graceful style to this modest dining collection.",dining
Tanager Collection,2549-78*,Your modern dining room will be perfectly complimented by the Tanager Collection. A dark espresso finish highlights the ash veneer providing a rich contrast to the clean contemporary lines of the tabletop and rectangular pedestal base. Neutral tone fabric chairs and bench feature wood framing and generously appointed seating.,dining
Jonas Collection,2558,"At home in contemporary or transitional settings, the Jonas Collection will add the splash of style that you have been looking for. The medium cherry finish of the five-piece table group will blend well with your new or existing design scheme. Black bi-cast vinyl seats compliment the boat shaped chair back.",dining
Vanbure Collection,2568-48,"Classic elegance is achieved with the design of the VanBure Collection. The tabletop features book-matched veneers and is gracefully supported by the stately table base. The coordinating chairs feature an oval cutout accent, wood framing and dark brown bi-cast vinyl seating. The entire collection is finished in a rich cherry, further lending to the elegant design.",dining
Chicago Collection,2588-92*,"Design elements from traditional to mid-century modern are delicately balanced in the sophisticated Chicago Collection. This deep espresso finished dining group takes the uniquely routed accent of the apron and double pedestal table base and applies it to the accompanying server. The shape of the chairs conforms to your body, providing comfort and maximum style. From the grand sweep of the arms to the traditional nail-head accent, this chair is the ultimate in sophistication. The server features tassel drop pull hardware in nickel finish and features door storage.",dining
Tempe Collection,2601-36,"With a scale appropriate for any number of smaller dining spaces, the Tempe Collection will provide the look and style you want in your home. The transitional feel of the group comes from the richly hued faux marble table top and the minimalistic design of the dark brown bi-cast vinyl chairs. The table and chair are constructed of metal in black finish. The collection is available in counter or traditional dining heights.",dining
Tempe Collection,2601-48,"With a scale appropriate for any number of smaller dining spaces, the Tempe Collection will provide the look and style you want in your home. The transitional feel of the group comes from the richly hued faux marble table top and the minimalistic design of the dark brown bi-cast vinyl chairs. The table and chair are constructed of metal in black finish. The collection is available in counter or traditional dining heights.",dining
Glendine Collection,2611-36*,Gathering your family and friends to enjoy a meal is a welcome opportunity to catch up and relax. The Glendine Collection will provide the perfect platform for your time honored traditions. The transitional styling and dark espresso finish make for the perfect addition to many home decors. A Lazy Susan provides the perfect platform for passing the elements of the meal and display shelving forms the base of this multi-functional table. Coordinating chairs feature a modified lattice design and feature dark brown bi-cast vinyl seating.,dining
Marston Collection,2615DC-36*,"Refined elegance is exemplified in the design of the Marston Collection. With three available table options, there is a perfect match for your home – A double pedestal base rises to support the clipped-corner rectangular tabletop of the 96-inch table, the oval topped pedestal table, and the counter height display base table, each are each flanked by chairs that feature turned front legs and nail head accent, along with a neutral tone fabric that covers the seats and backs. In support of the collection are the functional china and server. Featuring drawer and door storage, each with oval bale pull and knob hardware, you can be assured of plentiful space in which to stow or display your tabletop décor. The server also features a black melamine laminated top.",dining
Marston Collection,2615DC-72*,"Refined elegance is exemplified in the design of the Marston Collection. With three available table options, there is a perfect match for your home – A double pedestal base rises to support the clipped-corner rectangular tabletop of the 96-inch table, the oval topped pedestal table, and the counter height display base table, each are flanked by chairs that feature turned front legs and nail head accent, along with a neutral tone fabric that covers the seats and backs. In support of the collection are the functional china and server. Featuring drawer and door storage, each with oval bale pull and knob hardware, you can be assured of plentiful space in which to stow or display your tabletop décor. The server also features a black melamine laminated top.",dining
